WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
02/13-05-065-05W6/0,7GEN HZ 102 KARR 13-5-65-5,0496119,A6PR,Nabors Drilling Canada Limited,5,23 Aug 2020 08:30:00 PM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Set Surface,2020-08-24,5065056,35,8,2020,5065056,54.59623076,-118.70528
05/12-10-066-04W4/0,IMP H92-H01 LEMING 12-10-66-4,0498217,0Y55,Akita Drilling Ltd.,21,24 Aug 2020 03:15:00 PM,Bonnyville,0007,Imperial Oil Resources Limited,,Set Surface,2020-08-24,10066044,35,8,2020,10066044,54.69702879,-110.5102354
15/15-03-077-05W4/2,MEG M2N HARDY 15-3-77-5,0482479,0Y52,Precision Drilling Corporation,140,24 Aug 2020 03:45:00 PM,Bonnyville,0Z9C,MEG Energy Corp.,,Resumption,2020-08-24,3077054,35,8,2020,3077054,55.64271879,-110.67860970000001
03/12-26-094-06W4/0,SUNCOR P122P8 FIREBAG 12-26-94-6,0496416,A6PR,Nabors Drilling Canada Limited,102,24 Aug 2020 11:30:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-08-24,26094064,35,8,2020,26094064,57.18443579,-110.83756540000002
