WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/04-02-020-18W4/0,TXNE 1A-3 DV COUNTESS 4-2-20-18,0497210,A77K,Star Valley Drilling Ltd.,102,20 Jan 2020 10:00:00 PM,Midnapore,A7NW,Torxen Energy Ltd.,,Drill To LD,2020-01-21,2020184,4,1,2020,2020184,50.66655314,-112.3823061
00/15-34-034-09W4/0,TAC 13-27 HZ PROVOST 15-34-34-9,0496714,0GE9,Tempco Drilling Company Inc.,8,21 Jan 2020 12:15:00 PM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2020-01-21,34034094,4,1,2020,34034094,51.96185211,-111.1864047
02/13-05-035-02W4/0,KARVE 102 HZ PROVOST 13-5-35-2,0496389,0Z41,Ensign Drilling Inc.,348,20 Jan 2020 06:00:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Drill To LD,2020-01-21,5035024,4,1,2020,5035024,51.97570659,-110.2433217
00/05-06-040-27W4/0,VESTA VESTA 02~ JOFFRE 5-6-40-27,0497038,A6EC,Twilight Drilling Ltd.,3,20 Jan 2020 09:15:00 PM,Red Deer,A0L1,Vesta Energy Ltd.,,Drill To LD,2020-01-21,6040274,4,1,2020,6040274,52.41221735,-113.8676085
W0/01-28-043-11W5/0,TQN HZ FERRIER 1-28-43-11,0496514,0Y52,Precision Drilling Corporation,231,21 Jan 2020 06:00:00 AM,Drayton Valley,A2TG,TAQA North Ltd.,,Drill To LD,2020-01-21,28043115,4,1,2020,28043115,52.73434915,-115.52486040000001
00/08-06-045-07W4/0,SURGE ENERGY HZ VIK-KINS 8-6-45-7,0497309,0Y52,Precision Drilling Corporation,145,21 Jan 2020 06:00:00 AM,Wainwright,0YK4,Surge Energy Inc.,,Drill To LD,2020-01-21,6045074,4,1,2020,6045074,52.85074961,-110.99570520000002
00/01-10-057-18W4/0,POC HZ UKALTA 1-10-57-18,0497336,0Y52,Precision Drilling Corporation,118,21 Jan 2020 02:00:00 AM,St. Albert,A1WD,Perpetual Operating Corp.,,Drill To LD,2020-01-21,10057184,4,1,2020,10057184,53.91246406,-112.57935810000001
04/04-31-060-19W5/0,XTO C08 KAYBOBS 4-31-60-19,0497035,0ZF9,Jomax Drilling (1988) Limited,1,20 Jan 2020 06:00:00 PM,St. Albert,A6GB,XTO Energy Canada ULC,,Set Surface,2020-01-21,31060195,4,1,2020,31060195,54.23221841,-116.8265398
02/13-12-060-24W5/0,DELPHI 102 HZ PLACID 13-12-60-24,0497000,0Z41,Ensign Drilling Inc.,66,21 Jan 2020 02:00:00 PM,Drayton Valley,0CT7,Delphi Energy Corp.,,Drill To LD,2020-01-21,12060245,4,1,2020,12060245,54.17400751,-117.4513328
00/12-28-067-06W6/0,PARA HZ ELM 12-28-67-6,0496896,A5DR,Fox Drilling Inc.,4,21 Jan 2020 01:16:00 PM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Set Surface,2020-01-21,28067066,4,1,2020,28067066,54.82884756,-118.8396213
02/02-14-069-03W6/0,VELVET 102 HZ BEZAN 2-14-69-3,0497218,A08C,Savanna Drilling Corp.,639,20 Jan 2020 10:15:00 PM,Grande Prairie,A5YK,Velvet Energy Ltd.,,Drill To LD,2020-01-21,14069036,4,1,2020,14069036,54.97431587,-118.3310024
00/09-18-076-05W5/0,SPL 10-13 HZ MARTEN 9-18-76-5,0495537,A2CL,Komat Drilling Ltd.,3,21 Jan 2020 07:30:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Set Surface,2020-01-21,18076055,4,1,2020,18076055,55.58487052,-114.7518131
02/03-31-076-06W5/0,SPL 3-36 HZ 102 NIPISI 3-31-76-6,0495938,A2CL,Komat Drilling Ltd.,3,21 Jan 2020 11:30:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Set Surface,2020-01-21,31076065,4,1,2020,31076065,55.628460499999996,-114.9069808
AA/14-18-077-06W4/0,CVE C14 LEISMER 14-18-77-6,0495676,0Y52,Precision Drilling Corporation,254,20 Jan 2020 10:34:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-01-21,18077064,4,1,2020,18077064,55.67181834,-110.9115567
00/11-20-084-09W4/0,SUNCOR ET AL HANGSTN 11-20-84-9,0496973,A7HY,Earth Drilling Co. Ltd.,46,20 Jan 2020 11:30:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-01-21,20084094,4,1,2020,20084094,56.29719435,-111.37557109999999
AB/13-17-095-06W4/0,SUNCOR OB239 FIREBAG 13-17-95-6,0496566,0ZF6,McAllister Water Well Drilling Ltd.,1,21 Jan 2020 09:30:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-01-21,17095064,4,1,2020,17095064,57.24275064,-110.92768159999999
00/14-36-096-08W4/0,IMP KGD020-009 14-36-96-8,0496919,0Y52,Precision Drilling Corporation,171,21 Jan 2020 03:00:00 PM,Bonnyville,0007,Imperial Oil Resources Limited,,Drill To LD,2020-01-21,36096084,4,1,2020,36096084,57.37349312,-111.1442962
