WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
02/16-19-016-13W4/0,TXNE 16D-13 HZ BANTRY 16-19-16-13,0498886,A1TW,Bonanza Drilling Inc.,8,23 Jan 2021 04:00:00 PM,Medicine Hat,A7NW,Torxen Energy Ltd.,,Drill To LD,2021-01-23,19016134,3,1,2021,19016134,50.36113542,-111.7689589
02/13-36-034-03W4/0,RHE 102 PROVOST 13-36-34-3,0496166,0GE9,Tempco Drilling Company Inc.,6,23 Jan 2021 12:30:00 AM,Wainwright,A6W2,Rolling Hills Energy Ltd.,,Drill To LD,2021-01-23,36034034,3,1,2021,36034034,51.96171461,-110.2885159
02/01-34-035-09W4/0,KARVE 102 HZ PROVOST 1-34-35-9,0498643,0GE9,Tempco Drilling Company Inc.,8,22 Jan 2021 11:30:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Resumption,2021-01-23,34035094,3,1,2021,34035094,52.0484007,-111.1954761
00/11-36-036-04W4/0,SURGE ENERGY HZ PROVOST 11-36-36-4,0498899,0Y52,Precision Drilling Corporation,145,22 Jan 2021 06:15:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Drill To LD,2021-01-23,36036044,3,1,2021,36036044,52.13565307,-110.4336541
02/04-28-044-10W5/0,TQN FERRIER 4-28-44-10,0499185,0Y52,Precision Drilling Corporation,231,23 Jan 2021 02:00:00 PM,Red Deer,A2TG,TAQA North Ltd.,,Drill To LD,2021-01-23,28044105,3,1,2021,28044105,52.82163434,-115.379796
02/04-31-046-07W5/0,BONTERRA HZ 102 PEMBINA 4-31-46-7,0499249,A2EN,Ironhand Drilling Inc.,1,22 Jan 2021 03:30:00 PM,Drayton Valley,0XZ4,Bonterra Energy Corp.,,Drill To LD,2021-01-23,31046075,3,1,2021,31046075,53.01140189,-114.9924437
00/04-16-048-25W4/0,NEP DD LEDUC-WB 4-16-48-25,0499139,A6EC,Twilight Drilling Ltd.,2,22 Jan 2021 10:15:00 PM,St. Albert,A637,NEP Canada ULC,,Drill To LD,2021-01-23,16048254,3,1,2021,16048254,53.14145668,-113.5860194
00/13-03-052-16W5/0,TOURMALINE HZ EDSON 13-3-52-16,0498509,A6PR,Nabors Drilling Canada Limited,16,23 Jan 2021 05:00:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Drill To LD,2021-01-23,3052165,3,1,2021,3052165,53.46119944,-116.2620077
02/13-34-061-26W4/0,RHE 100 WESTLOCK 13-34-61-26,0499196,A57H,Predator Drilling Inc.,27,23 Jan 2021 11:00:00 AM,St. Albert,A6W2,Rolling Hills Energy Ltd.,,Set Surface,2021-01-23,34061264,3,1,2021,34061264,54.31939142,-113.8005715
02/09-22-064-05W6/0,7GEN HZ 102 KAKWA 9-22-64-5,0498555,A6PR,Nabors Drilling Canada Limited,5,23 Jan 2021 06:15:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Resumption,2021-01-23,22064056,3,1,2021,22064056,54.55250091,-118.6549438
00/09-27-066-04W6/0,PARA HZ KARR 9-27-66-4,0498786,A5DR,Fox Drilling Inc.,3,23 Jan 2021 04:00:00 PM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Drill To LD,2021-01-23,27066046,3,1,2021,27066046,54.74165136,-118.5038919
00/12-23-074-25W4/0,HWX MARTENH 12-23-74-25,0498853,A2CL,Komat Drilling Ltd.,3,22 Jan 2021 12:00:00 AM,St. Albert,A8DL,Headwater Exploration Inc.,,Set Surface,2021-01-23,23074254,3,1,2021,23074254,55.42448404,-113.7246578
00/01-35-074-25W4/0,HWX MARTENH 1-35-74-25,0498849,A2CL,Komat Drilling Ltd.,3,23 Jan 2021 12:55:00 AM,St. Albert,A8DL,Headwater Exploration Inc.,,Set Surface,2021-01-23,35074254,3,1,2021,35074254,55.45357068,-113.7246583
00/01-21-075-26W4/0,SPL 1-24 HZ MARTENH 1-21-75-26,0498538,0Y52,Precision Drilling Corporation,149,22 Jan 2021 07:30:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2021-01-23,21075264,3,1,2021,21075264,55.51200042,-113.9650244
AB/10-28-076-05W4/0,CVE A10 HARDY 10-28-76-5,0498392,0Y52,Precision Drilling Corporation,254,23 Jan 2021 02:22:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-23,28076054,3,1,2021,28076054,55.61363569,-110.7044933
00/01-23-079-12W6/0,CNRL HZ GORD 1-23-79-12,0490752,A0KC,Horizon Drilling Inc.,48,23 Jan 2021 12:00:00 PM,Grande Prairie,0HE9,Canadian Natural Resources Limited,,Drill To LD,2021-01-23,23079126,3,1,2021,23079126,55.8616116,-119.7491982
AB/08-12-093-10W4/0,SYNCRUDE 123N01 8-12-93-10,0497131,0Y80,Boart Longyear Canada,47,23 Jan 2021 01:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-23,12093104,3,1,2021,12093104,57.05349944,-111.454556
AB/15-14-093-10W4/0,SYNCRUDE 077N01 15-14-93-10,0497065,0Y80,Boart Longyear Canada,41,22 Jan 2021 07:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-23,14093104,3,1,2021,14093104,57.06813866,-111.4813998
