WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/05-27-034-13W4/0,BERING GARDPL 5-27-34-13,0496925,0GE9,Tempco Drilling Company Inc.,5,04 Mar 2020 01:00:00 PM,Wainwright,A2XA,"Bering Exploration Company, ULC",,Drill To LD,2020-03-04,27034134,10,3,2020,27034134,51.94733093,-111.7534082
02/13-02-041-27W4/0,VESTA MORNSIDE 13-2-41-27,0497710,A6EC,Twilight Drilling Ltd.,2,04 Mar 2020 02:45:00 PM,Red Deer,A0L1,Vesta Energy Ltd.,,Drill To LD,2020-03-04,2041274,10,3,2020,2041274,52.4995277,-113.77146259999999
03/16-07-047-06W5/0,BONTERRA 103 HZ PEMBINA 16-7-47-6,0497789,A2EN,Ironhand Drilling Inc.,1,04 Mar 2020 11:30:00 AM,Drayton Valley,0XZ4,Bonterra Energy Corp.,,Drill To LD,2020-03-04,7047065,10,3,2020,7047065,53.03958939,-114.8550814
00/01-04-050-12W5/0,VEI HZ PEMBINA 1-4-50-12,0497438,A08C,Savanna Drilling Corp.,631,03 Mar 2020 08:30:00 PM,Drayton Valley,A6FW,Vermilion Energy Inc.,,Drill To LD,2020-03-04,4050125,10,3,2020,4050125,53.28706579999999,-115.6838956
02/05-21-062-03W6/0,STRATH HZ 102 LATOR 5-21-62-3,0497767,0Y52,Precision Drilling Corporation,529,04 Mar 2020 02:15:00 AM,Grande Prairie,A7GW,Strath Resources Ltd.,,Set Surface,2020-03-04,21062036,10,3,2020,21062036,54.37770456,-118.375184
00/08-20-069-05W6/0,INCEPTION EXP HZ ELM 8-20-69-5,0497026,A2EN,Ironhand Drilling Inc.,3,03 Mar 2020 08:00:00 PM,Grande Prairie,A600,Inception Exploration Ltd.,,Resumption,2020-03-04,20069056,10,3,2020,20069056,54.98872981,-118.71242450000001
AB/16-24-070-04W4/0,CVE B16 FISHER 16-24-70-4,0496271,0Y52,Precision Drilling Corporation,135,04 Mar 2020 08:00:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-03-04,24070044,10,3,2020,24070044,55.07502764,-110.46333290000001
AA/14-12-073-07W4/0,CNRL 1AA KIRBY 14-12-73-7,0496708,0Z41,Ensign Drilling Inc.,218,04 Mar 2020 01:00:00 AM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Drill To LD,2020-03-04,12073074,10,3,2020,12073074,55.308198,-110.92979
03/07-15-074-01W6/0,CANAMAX 03 PUSKWA 7-15-74-1,0495956,A0KC,Horizon Drilling Inc.,45,04 Mar 2020 10:30:00 AM,Grande Prairie,A6LB,Canamax Energy Ltd.,,Drill To LD,2020-03-04,15074016,10,3,2020,15074016,55.41061563,-118.0516351
AB/04-30-077-06W4/0,CVE B4 LEISMER 4-30-77-6,0495657,0Y52,Precision Drilling Corporation,254,04 Mar 2020 02:46:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-03-04,30077064,10,3,2020,30077064,55.70090418,-110.9115675
00/01-03-079-08W6/0,GRL 1-4 HZ 100 PROGRESS 1-3-79-8,0497784,0Y52,Precision Drilling Corporation,182,03 Mar 2020 06:38:00 PM,Grande Prairie,A0TX,Grizzly Resources Ltd.,,Drill To LD,2020-03-04,3079086,10,3,2020,3079086,55.81804409,-119.1490616
00/09-18-079-12W6/0,BIR 14-19 HZ PCOUPE 9-18-79-12,0497017,0Z41,Ensign Drilling Inc.,137,03 Mar 2020 05:30:00 PM,Grande Prairie,A12R,Birchcliff Energy Ltd.,,Set Surface,2020-03-04,18079126,10,3,2020,18079126,55.84714801,-119.8535622
05/13-27-083-23W5/0,CANAMAX 04 HZ GRIMSHAW 13-27-83-23,0496886,0X47,Beaver Drilling Ltd.,3,04 Mar 2020 02:15:00 AM,Grande Prairie,A6LB,Canamax Energy Ltd.,,Drill To LD,2020-03-04,27083235,10,3,2020,27083235,56.22578358,-117.531524
AB/11-24-084-11W4/0,JACOS OV2 HANGSTN 11-24-84-11,0496328,0Y55,Akita Drilling Ltd.,12,04 Mar 2020 01:30:00 PM,Bonnyville,0NY5,Japan Canada Oil Sands Limited,,Resumption,2020-03-04,24084114,10,3,2020,24084114,56.29717829,-111.5862248
00/05-12-092-08W4/0,SUNCOR DW LEWIS 5-12-92-8,0496877,A57H,Predator Drilling Inc.,2,03 Mar 2020 05:00:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Resumption,2020-03-04,12092084,10,3,2020,12092084,56.96623963,-111.13268719999999
00/04-08-095-06W4/0,SUNCOR QW20 FIREBAG 4-8-95-6,0496893,0ZF6,McAllister Water Well Drilling Ltd.,1,03 Mar 2020 10:30:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-03-04,8095064,10,3,2020,8095064,57.22812055,-110.9276828
