WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
02/08-31-017-10W4/0,CNRL 102 HZ ALDSON 8-31-17-10,0496148,0Z41,Ensign Drilling Inc.,651,01 Mar 2020 04:00:00 PM,Medicine Hat,0HE9,Canadian Natural Resources Limited,,Drill To LD,2020-03-01,31017104,9,3,2020,31017104,50.47730802,-111.35643759999999
02/16-02-021-15W4/0,CARDINAL 102 HZ BANTRY 16-2-21-15,0497732,A1TW,Bonanza Drilling Inc.,7,29 Feb 2020 04:00:00 PM,Midnapore,A6A7,Cardinal Energy Ltd.,,Drill To LD,2020-03-01,2021154,9,3,2020,2021154,50.75403326,-111.96673270000001
00/13-25-034-10W4/0,TAC 4-30 HZ PROVOST 13-25-34-10,0497356,0GE9,Tempco Drilling Company Inc.,8,01 Mar 2020 12:00:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2020-03-01,25034104,9,3,2020,25034104,51.94742208,-111.2809024
00/10-07-039-06W4/0,RSO HZ PROVOST 10-7-39-6,0497525,0GE9,Tempco Drilling Company Inc.,3,29 Feb 2020 11:45:00 PM,Wainwright,A71X,Rifle Shot Oil Corp.,,Drill To LD,2020-03-01,7039064,9,3,2020,7039064,52.33928959,-110.84486299999999
02/01-10-044-10W5/0,TQN HZ FERRIER 1-10-44-10,0496909,0Y52,Precision Drilling Corporation,231,01 Mar 2020 03:00:00 AM,Red Deer,A2TG,TAQA North Ltd.,,Drill To LD,2020-03-01,10044105,9,3,2020,10044105,52.77788381,-115.35563359999999
05/14-26-047-05W4/0,ENERPLUS CORP 05 WILDMERE 14-26-47-5,0497719,0ZG2,Excalibur Drilling Ltd.,10,29 Feb 2020 05:45:00 PM,Wainwright,A5RD,Enerplus Corporation,,Drill To LD,2020-03-01,26047054,9,3,2020,26047054,53.08148886,-110.61472549999999
00/16-13-052-07W4/0,CREW HZ SWIMMING 16-13-52-7,0497350,0Y52,Precision Drilling Corporation,299,29 Feb 2020 06:00:00 PM,Wainwright,A0C6,Crew Energy Inc.,,Drill To LD,2020-03-01,13052074,9,3,2020,13052074,53.48986043,-110.89117009999998
00/04-04-063-05W6/0,7GEN HZ KAKWA 4-4-63-5,0497464,0Z41,Ensign Drilling Inc.,148,29 Feb 2020 08:30:00 PM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Drill To LD,2020-03-01,4063056,9,3,2020,4063056,54.42169003,-118.6800356
02/04-09-063-05W6/0,7GEN HZ 102 KAKWA 4-9-63-5,0496208,0Y55,Akita Drilling Ltd.,41,01 Mar 2020 07:56:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Drill To LD,2020-03-01,9063056,9,3,2020,9063056,54.43614492,-118.68003940000001
02/10-07-072-08W6/0,ECA HZ 102 WEMBLEY 10-7-72-8,0497480,0Y52,Precision Drilling Corporation,534,29 Feb 2020 07:15:00 PM,Grande Prairie,0026,Ovintiv Canada ULC,,Drill To LD,2020-03-01,7072086,9,3,2020,7072086,55.221463,-119.20533999999999
00/15-02-075-09W4/0,CNRL OBS DEVENISH 15-2-75-9,0496965,0Y52,Precision Drilling Corporation,196,01 Mar 2020 06:26:00 AM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Drill To LD,2020-03-01,2075094,9,3,2020,2075094,55.46818639,-111.2738902
AB/03-30-077-06W4/0,CVE B3 LEISMER 3-30-77-6,0495656,0Y52,Precision Drilling Corporation,254,01 Mar 2020 07:45:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-03-01,30077064,9,3,2020,30077064,55.70090418,-110.9115675
AA/05-30-077-06W4/0,CVE C5 LEISMER 5-30-77-6,0495659,0Y52,Precision Drilling Corporation,180,01 Mar 2020 03:30:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-03-01,30077064,9,3,2020,30077064,55.70090418,-110.9115675
AA/16-07-084-10W4/0,JACOS HANGSTN 16-7-84-10,0496579,A2CL,Komat Drilling Ltd.,4,29 Feb 2020 09:15:00 PM,Bonnyville,0NY5,Japan Canada Oil Sands Limited,,Set Surface,2020-03-01,7084104,9,3,2020,7084104,56.26811207,-111.5598909
AB/01-12-084-11W4/0,JACOS OV2 HANGSTN 1-12-84-11,0496588,A278,EUB-New Rig Drilling Contractor,1,01 Mar 2020 08:45:00 AM,Bonnyville,0NY5,Japan Canada Oil Sands Limited,,Resumption,2020-03-01,12084114,9,3,2020,12084114,56.26809764,-111.5862232
AA/11-26-091-08W4/0,SUNCOR LEWIS 11-26-91-8,0497291,A57H,Predator Drilling Inc.,2,01 Mar 2020 08:11:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Resumption,2020-03-01,26091084,9,3,2020,26091084,56.92272561,-111.15951229999999
06/12-27-094-06W4/0,SUNCOR P122S16 FIREBAG 12-27-94-6,0496347,A6PR,Nabors Drilling Canada Limited,102,01 Mar 2020 12:30:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-03-01,27094064,9,3,2020,27094064,57.18444441,-110.8643913
