WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/14-35-039-06W5/0,BEC HZ WILLGR 14-35-39-6,0497553,A08C,Savanna Drilling Corp.,655E,04 Dec 2020 01:30:00 PM,Red Deer,A5RX,Bonavista Energy Corporation,,Drill To LD,2020-12-04,35039065,49,12,2020,35039065,52.39939698,-114.7456303
03/04-08-044-09W5/0,WESTBRICK HZ 103 WILLGR 4-8-44-9,0498662,0ZG2,Excalibur Drilling Ltd.,14,03 Dec 2020 11:45:00 PM,Red Deer,A5WB,Westbrick Energy Ltd.,,Drill To LD,2020-12-04,8044095,49,12,2020,8044095,52.77790477,-115.25892169999999
00/07-36-057-27W5/0,TOURMALINE HZ LELAND 7-36-57-27,0498359,0Z41,Ensign Drilling Inc.,39,03 Dec 2020 08:28:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Resumption,2020-12-04,36057275,49,12,2020,36057275,53.97012398,-117.86647669999999
00/16-03-075-25W4/0,DELTASTREAM MARTENH 16-3-75-25,0498494,A2CL,Komat Drilling Ltd.,3,04 Dec 2020 12:15:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2020-12-04,3075254,49,12,2020,3075254,55.46818561,-113.78389469999999
00/05-29-078-07W6/0,GRL 100 HZ VALHALLA 5-29-78-7,0493212,0Y52,Precision Drilling Corporation,182,04 Dec 2020 04:00:00 PM,Grande Prairie,A0TX,Grizzly Resources Ltd.,,Drill To LD,2020-12-04,29078076,49,12,2020,29078076,55.78858427,-119.0348058
