WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
TYRANNEX ENERGY VALHALLA 5-27-75-10,0497496,ALBERTA CROWN,835.6M,100/05-27-075-10W6/00  N  620.2M  E,91.0M,GRANDE PRAIRIE,2200.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (NC),VALHALLA,DOE CREEK MBR,TYRANNEX ENERGY LTD.,05-26-075-10W6,26075106,4,1,2020,26075106,55.52684917,-119.42248570000001
ARTIS HZ 102 HUXLEY 5-2-34-24,0497497,ALBERTA CROWN,877.6M,102/05-02-034-24W4/00  N  279.9M  E,613.0M,RED DEER,5500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (C),HUXLEY,DUVERNAY FM,ARTIS EXPLORATION LTD.,03-14-034-24W4,14034244,4,1,2020,14034244,51.91850571,-113.2885285
TAC 102 HZ KIPP 6-30-8-23,0497498,FREEHOLD,946.4M,102/06-30-008-23W4/00  S   97.5M  W,413.1M,MEDICINE HAT,5664.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,XPL (C),KIPP,BANFF FM,TAMARACK ACQUISITION CORP.,15-35-008-24W4,35008244,4,1,2020,35008244,49.69131696,-113.140295
GEAR HZ 102 KILLAM 8-20-42-11,0497499,ALBERTA CROWN,691.7M,103/08-20-042-11W4/00  S  356.3M  E,83.8M,WAINWRIGHT,2933.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (NC),KILLAM,LLOYDMINSTER MBR,GEAR ENERGY LTD.,13-28-042-11W4,28042114,4,1,2020,28042114,52.64523097,-111.51639180000001
GEAR HZ KILLAM 5-21-42-11,0497500,BOTH,690.7M,103/05-21-042-11W4/00  S  356.3M  E,98.7M,WAINWRIGHT,2933.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (NC),KILLAM,LLOYDMINSTER MBR,GEAR ENERGY LTD.,13-28-042-11W4,28042114,4,1,2020,28042114,52.64523097,-111.51639180000001
TQN HZ KAKWA 7-24-63-8,0497501,ALBERTA CROWN,1052.4M,100/07-24-063-08W6/00  N  482.6M  W,658.8M,GRANDE PRAIRIE,3879.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (NC),KAKWA,CHINOOK MBR,TAQA NORTH LTD.,07-13-063-08W6,13063086,4,1,2020,13063086,54.45079637,-119.0577268
CNRL HZ VALHALLA 2-30-76-9,0497502,ALBERTA CROWN,860.1M,100/02-30-076-09W6/00  S  716.3M  E,45.5M,GRANDE PRAIRIE,5100.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (NC),VALHALLA,CHARLIE LAKE FM,CANADIAN NATURAL RESOURCES LIMITED,12-36-076-10W6,36076106,4,1,2020,36076106,55.62858777,-119.39674129999999
VEI HZ PEMBINA 9-23-49-13,0497503,ALBERTA CROWN,984.4M,102/09-23-049-13W5/00  N  363.6M  E,234.9M,DRAYTON VALLEY,5185.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-01-23,DEV (NC),PEMBINA,ELLERSLIE MBR,VERMILION ENERGY INC.,04-36-049-13W5,36049135,4,1,2020,36049135,53.27243153,-115.7570231
VEI HZ WESTPEM 3-29-49-13,0497504,ALBERTA CROWN,1011M,100/03-29-049-13W5/00  N  357.7M  E,670.0M,DRAYTON VALLEY,4163.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-01-23,DEV (NC),WESTPEM,ELLERSLIE MBR,VERMILION ENERGY INC.,03-32-049-13W5,32049135,4,1,2020,32049135,53.27240347,-115.85449720000001
RSO HZ 103 PROVOST 13-17-39-6,0497505,ALBERTA CROWN,700M,103/13-17-039-06W4/00  N  414.8M  E,773.6M,WAINWRIGHT,1817.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-23,DEV (NC),PROVOST,DINA MBR,RIFLE SHOT OIL CORP.,06-17-039-06W4,17039064,4,1,2020,17039064,52.35397353,-110.82083610000001
