WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
YANGARRA 103 HZ FERRIER 3-16-37-7,0497410,ALBERTA CROWN,1043.8M,103/03-16-037-07W5/00  N  484.0M  W,768.9M,RED DEER,5611.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-16,DEV (NC),FERRIER,CARDIUM FM,YANGARRA RESOURCES CORP.,07-28-037-07W5,28037075,3,1,2020,28037075,52.20997275,-114.92993600000001
TAC 2-36 HZ 1F1 PROVOST 1-25-34-9,0497411,ALBERTA CROWN,793.6M,1F1/01-25-034-09W4/00  N  200.9M  W,575.6M,WAINWRIGHT,2367.0,HORIZONTAL,NEW,PRODUCTION,WATER,2020-01-16,OTH (NC),PROVOST,BASAL BELLY RIVER SD,TAMARACK ACQUISITION CORP.,02-36-034-09W4,36034094,3,1,2020,36034094,51.96188673,-111.1391277
TAC 2-36 HZ 1F1 PROVOST 5-6-35-8,0497412,ALBERTA CROWN,793.6M,1F1/05-06-035-08W4/00  N  200.9M  W,583.6M,WAINWRIGHT,2340.0,HORIZONTAL,NEW,PRODUCTION,WATER,2020-01-16,OTH (NC),PROVOST,BASAL BELLY RIVER SD,TAMARACK ACQUISITION CORP.,02-36-034-09W4,36034094,3,1,2020,36034094,51.96188673,-111.1391277
2214896AB HZ  KAYBOBS 15-33-59-20,0497413,ALBERTA CROWN,1012.9M,100/15-33-059-20W5/00  S   74.4M  E,548.4M,DRAYTON VALLEY,3500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-16,DEV (NC),KAYBOB SOUTH,CARDIUM FM,2214896 ALBERTA LTD.,14-28-059-20W5,28059205,3,1,2020,28059205,54.13048828,-116.9264994
2214896AB 102 HZ KAYBOBS 14-33-59-20,0497414,ALBERTA CROWN,1012.7M,102/14-33-059-20W5/00  S   73.2M  E,533.4M,DRAYTON VALLEY,3500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-16,DEV (NC),KAYBOB SOUTH,CARDIUM FM,2214896 ALBERTA LTD.,14-28-059-20W5,28059205,3,1,2020,28059205,54.13048828,-116.9264994
2214896AB HZ KAYBOBS 4-32-59-20,0497415,ALBERTA CROWN,988.4M,100/04-32-059-20W5/00  S   27.8M  W,80.2M,DRAYTON VALLEY,3300.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-16,DEV (NC),KAYBOB SOUTH,CARDIUM FM,2214896 ALBERTA LTD.,16-31-059-20W5,31059205,3,1,2020,31059205,54.14493738,-116.9764872
2214896AB HZ KAYBOBS 1-31-59-20,0497416,ALBERTA CROWN,988.5M,100/01-31-059-20W5/00  S   42.8M  W,79.6M,DRAYTON VALLEY,3300.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-16,DEV (NC),KAYBOB SOUTH,CARDIUM FM,2214896 ALBERTA LTD.,16-31-059-20W5,31059205,3,1,2020,31059205,54.14493738,-116.9764872
TXNE 7B-12 DV COUNTESS 2-12-22-18,0497417,FREEHOLD,773.7M,102/02-12-022-18W4/00  N  577.6M  W,740.3M,MIDNAPORE,1325.0,DIRECTIONAL,NEW,PRODUCTION,CRUDE OIL,2020-01-16,DEV (NC),COUNTESS,BASAL QUARTZ SD,TORXEN ENERGY LTD.,07-12-022-18W4,12022184,3,1,2020,12022184,50.855811700000004,-112.35923570000001
CNRL 5A KENT 5-1-61-2,0497418,ALBERTA CROWN,573.8M,100/05-01-061-02W4/00  N  715.6M  E,449.5M,BONNYVILLE,547.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-01-16,DEV (NC),KENT,LLOYDMINSTER MBR,CANADIAN NATURAL RESOURCES LIMITED,06-01-061-02W4,1061024,3,1,2020,1061024,54.24605229,-110.15554650000001
CNRL 5C BEAVX 5-1-62-2,0497419,ALBERTA CROWN,573.8M,100/05-01-062-02W4/00  N  730.5M  E,447.7M,BONNYVILLE,620.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-01-16,DEV (NC),UNDEFINED,LLOYDMINSTER MBR,CANADIAN NATURAL RESOURCES LIMITED,06-01-061-02W4,1061024,3,1,2020,1061024,54.24605229,-110.15554650000001
