WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
MEG AF2N HARDY 9-19-77-5,0483791,ALBERTA CROWN,564M,112/09-19-077-05W4/02  N  630.5M  E,317.8M,BONNYVILLE,1746.0,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2021-01-21,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,05-19-077-05W4,19077054,3,1,2021,19077054,55.68625552,-110.7562558
BIR 14-28 HZ PCOUPES 10-31-77-13,0499337,ALBERTA CROWN,853.1M,100/10-31-077-13W6/00  S   63.7M  E,403.6M,GRANDE PRAIRIE,4950.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-21,DEV (NC),POUCE COUPE SOUTH,DOIG FM,BIRCHCLIFF ENERGY LTD.,14-28-077-13W6,28077136,3,1,2021,28077136,55.70138955,-119.9398
BIR 14-28 HZ PCOUPES 15-31-77-13,0499338,ALBERTA CROWN,853.4M,100/15-31-077-13W6/00  S   53.7M  E,403.6M,GRANDE PRAIRIE,5105.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-21,DEV (NC),POUCE COUPE SOUTH,DOIG FM,BIRCHCLIFF ENERGY LTD.,14-28-077-13W6,28077136,3,1,2021,28077136,55.70138955,-119.9398
LONGSHORE DD 102 PROVOST 6-28-39-6,0499339,ALBERTA CROWN,694.6M,102/06-28-039-06W4/00  N  581.2M  E,525.0M,WAINWRIGHT,912.0,DIRECTIONAL,NEW,PRODUCTION,CRUDE OIL,2021-01-21,XPL (C),PROVOST,LEDUC FM,LONGSHORE RESOURCES LTD.,06-28-039-06W4,28039064,3,1,2021,28039064,52.38308367,-110.7968405
DANZIG NIPISI 13-26-76-8,0499340,ALBERTA CROWN,685.6M,100/13-26-076-08W5/00  S  394.0M  E,105.3M,ST. ALBERT,2500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-21,XPL (C),UNDEFINED,CLEARWATER FM,DANZIG RESOURCES LTD.,13-23-076-08W5,23076085,3,1,2021,23076085,55.59941232,-115.1139756
DANZIG NIPISI 14-26-76-8,0499341,ALBERTA CROWN,685.9M,100/14-26-076-08W5/00  S  385.8M  E,111.0M,ST. ALBERT,2500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-21,XPL (C),UNDEFINED,CLEARWATER FM,DANZIG RESOURCES LTD.,13-23-076-08W5,23076085,3,1,2021,23076085,55.59941232,-115.1139756
7GEN HZ KAKWA 16-3-64-6,0499342,ALBERTA CROWN,974.8M,100/16-03-064-06W6/00  N   77.2M  E,345.0M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-21,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,04-36-063-06W6,36063066,3,1,2021,36063066,54.49429946,-118.7555294
7GEN HZ KAKWA 2-13-63-4,0499343,ALBERTA CROWN,876M,100/02-13-063-04W6/00  N  697.2M  E,681.1M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-21,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,06-23-063-04W6,23063046,3,1,2021,23063046,54.46519242,-118.4786956
7GEN HZ KAKWA 7-13-63-4,0499344,ALBERTA CROWN,876.1M,100/07-13-063-04W6/00  N  696.9M  E,692.1M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-21,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,06-23-063-04W6,23063046,3,1,2021,23063046,54.46519242,-118.4786956
7GEN HZ 102 KAKWA 7-13-63-4,0499345,ALBERTA CROWN,876.4M,102/07-13-063-04W6/00  N  696.5M  E,703.1M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-21,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,06-23-063-04W6,23063046,3,1,2021,23063046,54.46519242,-118.4786956
