WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
SUNCOR P112P7B FIREBAG 10-5-95-6,0462748,ALBERTA CROWN,565.6M,116/10-05-095-06W4/02  S  205.1M  W,322.5M,BONNYVILLE,1643.6,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-08,DEV (NC),UNDEFINED,MCMURRAY FM,SUNCOR ENERGY INC.,16-06-095-06W4,6095064,41,10,2020,6095064,57.21366205,-110.95475630000001
SPL 16-33 HZ NIPISI 1-3-77-6,0498522,ALBERTA CROWN,701.9M,100/01-03-077-06W5/00  S   95.0M  W,49.8M,ST. ALBERT,2600.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-08,DEV (NC),NIPISI,CLEARWATER FM,SPUR PETROLEUM LTD.,16-33-076-06W5,33076065,41,10,2020,33076065,55.62845788,-114.85524620000001
SPL 16-33 HZ 102 NIPISI 1-3-77-6,0498523,ALBERTA CROWN,701.9M,102/01-03-077-06W5/00  S   85.0M  W,49.8M,ST. ALBERT,2600.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-08,DEV (NC),NIPISI,CLEARWATER FM,SPUR PETROLEUM LTD.,16-33-076-06W5,33076065,41,10,2020,33076065,55.62845788,-114.85524620000001
TAC 7-32 HZ PROVOST 13-33-34-8,0498524,ALBERTA CROWN,793.9M,100/13-33-034-08W4/00  N  502.2M  W,417.2M,WAINWRIGHT,2030.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-08,DEV (NC),PROVOST,VIKING FM,TAMARACK ACQUISITION CORP.,07-32-034-08W4,32034084,41,10,2020,32034084,51.96186122,-111.0918757
TAC 7-32 HZ PROVOST 15-33-34-8,0498525,ALBERTA CROWN,793.9M,100/15-33-034-08W4/00  N  502.2M  W,407.2M,WAINWRIGHT,2422.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-08,DEV (NC),PROVOST,VIKING FM,TAMARACK ACQUISITION CORP.,07-32-034-08W4,32034084,41,10,2020,32034084,51.96186122,-111.0918757
CNRL 4B HZ SUGDEN 4-13-62-8,0498526,ALBERTA CROWN,555.6M,100/04-13-062-08W4/00  N  203.7M  E,574.1M,BONNYVILLE,2180.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-08,DEV (NC),SUGDEN,SPARKY MBR,CANADIAN NATURAL RESOURCES LIMITED,03-18-062-07W4,18062074,41,10,2020,18062074,54.3625574,-111.03028799999998
WINSLOW HZ FERRIER 4-23-44-10,0498527,FREEHOLD,968.4M,103/04-23-044-10W5/00  N  101.6M  W,684.9M,RED DEER,4000.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-10-08,DEV (NC),FERRIER,UPPER MANNVILLE FM,WINSLOW RESOURCES INC.,02-26-044-10W5,26044105,41,10,2020,26044105,52.82163662,-115.3314513
SPL 16-33 HZ NIPISI 8-9-77-6,0498528,ALBERTA CROWN,702M,100/08-09-077-06W5/00  S   85.0M  W,59.8M,ST. ALBERT,2700.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-08,DEV (NC),NIPISI,CLEARWATER FM,SPUR PETROLEUM LTD.,16-33-076-06W5,33076065,41,10,2020,33076065,55.62845788,-114.85524620000001
SPL 16-33 HZ 102 NIPISI 8-9-77-6,0498529,ALBERTA CROWN,701.8M,102/08-09-077-06W5/00  S   95.0M  W,59.8M,ST. ALBERT,2700.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-08,DEV (NC),NIPISI,CLEARWATER FM,SPUR PETROLEUM LTD.,16-33-076-06W5,33076065,41,10,2020,33076065,55.62845788,-114.85524620000001
