WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
ATH 103 HZ PLACID 13-27-60-24,0498466,ALBERTA CROWN,1088.8M,103/13-27-060-24W5/00  S  473.0M  E,485.0M,GRANDE PRAIRIE,5800.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-09-24,DEV (NC),PLACID,MONTNEY FM,ATHABASCA OIL CORPORATION,11-23-060-24W5,23060245,39,9,2020,23060245,54.20310917,-117.4763283
ATH 103 HZ PLACID 14-28-60-24,0498467,ALBERTA CROWN,1100.4M,103/14-28-060-24W5/00  S  313.9M  E,597.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-09-24,DEV (NC),PLACID,MONTNEY FM,ATHABASCA OIL CORPORATION,14-22-060-24W5,22060245,39,9,2020,22060245,54.20311655,-117.50132109999998
ATH 106 HZ PLACID 4-17-60-23,0498468,ALBERTA CROWN,1084M,106/04-17-060-23W5/00  S  492.7M  E,359.7M,GRANDE PRAIRIE,6900.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-09-24,DEV (NC),PLACID,MONTNEY FM,ATHABASCA OIL CORPORATION,12-24-060-24W5,24060245,39,9,2020,24060245,54.20309794,-117.4513354
R S R HZ MIRAGE 12-28-79-8,0498469,ALBERTA CROWN,680.7M,100/12-28-079-08W6/00  S  474.6M  E,408.6M,GRANDE PRAIRIE,3250.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (NC),MIRAGE,CHARLIE LAKE FM,RISING STAR RESOURCES LTD.,11-27-079-08W6,27079086,39,9,2020,27079086,55.87621679,-119.1489976
R S R HZ MIRAGE 13-28-79-8,0498470,ALBERTA CROWN,680.8M,100/13-28-079-08W6/00  S  456.7M  E,417.6M,GRANDE PRAIRIE,3210.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (NC),MIRAGE,CHARLIE LAKE FM,RISING STAR RESOURCES LTD.,11-27-079-08W6,27079086,39,9,2020,27079086,55.87621679,-119.1489976
OUC HZ LOCHEND 16-11-26-3,0498471,ALBERTA CROWN,1283.9M,100/16-11-026-03W5/00  N  705.8M  W,112.2M,MIDNAPORE,5439.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (NC),LOCHEND,CARDIUM FM,ORLEN UPSTREAM CANADA LTD.,08-09-026-03W5,9026035,39,9,2020,9026035,51.20497979,-114.35064579999998
OUC HZ LOCHEND 8-11-26-3,0498472,ALBERTA CROWN,1284.1M,100/08-11-026-03W5/00  N  675.8M  W,111.4M,MIDNAPORE,5446.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (NC),LOCHEND,CARDIUM FM,ORLEN UPSTREAM CANADA LTD.,08-09-026-03W5,9026035,39,9,2020,9026035,51.20497979,-114.35064579999998
OUC HZ LOCHEND 9-33-25-3,0498473,ALBERTA CROWN,1284.1M,100/09-33-025-03W5/00  N  675.2M  W,136.4M,MIDNAPORE,4654.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (NC),LOCHEND,CARDIUM FM,ORLEN UPSTREAM CANADA LTD.,08-09-026-03W5,9026035,39,9,2020,9026035,51.20497979,-114.35064579999998
KELT EXP HZ VALHALLA 13-10-75-9,0498474,FREEHOLD,819.1M,100/13-10-075-09W6/00  S   83.0M  E,433.9M,GRANDE PRAIRIE,6620.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-09-24,DEV (C),VALHALLA,MONTNEY FM,KELT EXPLORATION LTD.,14-34-074-09W6,34074096,39,9,2020,34074096,55.45408117,-119.2822685
CPEC HZ JUDYCK 7-17-64-10,0498475,ALBERTA CROWN,983.2M,100/07-17-064-10W5/00  N  180.5M  W,470.9M,ST. ALBERT,5455.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (NC),JUDY CREEK,SLAVE POINT FM,CRESCENT POINT ENERGY CORP.,02-29-064-10W5,29064105,39,9,2020,29064105,54.566904099999995,-115.4632336
SPL 1-31 HZ NIPISI 2-36-76-8,0498476,ALBERTA CROWN,722.4M,100/02-36-076-08W5/00  N  153.8M  W,78.5M,ST. ALBERT,2900.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-09-24,DEV (C),UNDEFINED,CLEARWATER FM,SPUR PETROLEUM LTD.,01-31-076-07W5,31076075,39,9,2020,31076075,55.62849781,-115.06218529999998
