WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CNRL PE95-01I MOORE 4-23-67-3,0498761,ALBERTA CROWN,686.8M,108/04-23-067-03W4/00  N  289.1M  W,664.3M,BONNYVILLE,2526.0,HORIZONTAL,NEW,INJECTION,WATER,2020-11-19,DSW (NC),MOORE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,02-15-067-03W4,15067034,47,11,2020,15067034,54.79873088,-110.3617865
CNRL PE95-02I MOORE 4-23-67-3,0498762,ALBERTA CROWN,686.8M,109/04-23-067-03W4/00  N  289.1M  W,674.3M,BONNYVILLE,2469.0,HORIZONTAL,NEW,INJECTION,WATER,2020-11-19,DSW (NC),MOORE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,02-15-067-03W4,15067034,47,11,2020,15067034,54.79873088,-110.3617865
CNRL PE95-03I MOORE 4-23-67-3,0498763,ALBERTA CROWN,686.8M,110/04-23-067-03W4/00  N  289.1M  W,684.3M,BONNYVILLE,2416.0,HORIZONTAL,NEW,INJECTION,WATER,2020-11-19,DSW (NC),MOORE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,02-15-067-03W4,15067034,47,11,2020,15067034,54.79873088,-110.3617865
CNRL PE95-01P MOORE 4-23-67-3,0498764,ALBERTA CROWN,686.6M,111/04-23-067-03W4/00  N  259.3M  W,664.3M,BONNYVILLE,2566.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-19,DEV (NC),MOORE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,02-15-067-03W4,15067034,47,11,2020,15067034,54.79873088,-110.3617865
CNRL PE95-02P MOORE 4-23-67-3,0498765,ALBERTA CROWN,686.6M,112/04-23-067-03W4/00  N  259.3M  W,674.3M,BONNYVILLE,2501.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-19,DEV (NC),MOORE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,02-15-067-03W4,15067034,47,11,2020,15067034,54.79873088,-110.3617865
CNRL PE95-03P MOORE 4-23-67-3,0498766,ALBERTA CROWN,686.6M,113/04-23-067-03W4/00  N  259.3M  W,684.3M,BONNYVILLE,2454.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-19,DEV (NC),MOORE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,02-15-067-03W4,15067034,47,11,2020,15067034,54.79873088,-110.3617865
CVE C7 FISHER 7-19-70-3,0498767,ALBERTA CROWN,670.3M,1AA/07-19-070-03W4/00  N  689.5M  W,726.9M,BONNYVILLE,512.0,VERTICAL,NEW,OIL SAND EVALUATION,CRUDE BITUMEN,2020-11-19,OV (C),FISHER,MCMURRAY FM,CENOVUS ENERGY INC.,07-19-070-03W4,19070034,47,11,2020,19070034,55.07504021,-110.43790940000001
CVE D10 FISHER 10-19-70-3,0498768,ALBERTA CROWN,671.3M,1AA/10-19-070-03W4/00  S  489.8M  W,509.8M,BONNYVILLE,510.0,VERTICAL,NEW,OIL SAND EVALUATION,CRUDE BITUMEN,2020-11-19,OV (C),FISHER,MCMURRAY FM,CENOVUS ENERGY INC.,10-19-070-03W4,19070034,47,11,2020,19070034,55.07504021,-110.43790940000001
CVE C5-30 D8 FISHER 8-25-70-4,0498769,ALBERTA CROWN,667.1M,1AB/08-25-070-04W4/00  N  636.7M  E,153.7M,BONNYVILLE,580.0,DIRECTIONAL,NEW,OIL SAND EVALUATION,CRUDE BITUMEN,2020-11-19,OV (C),FISHER,MCMURRAY FM,CENOVUS ENERGY INC.,05-30-070-03W4,30070034,47,11,2020,30070034,55.08967598,-110.437909
CVE B5 FISHER 5-2-70-4,0498770,ALBERTA CROWN,671.2M,1AA/05-02-070-04W4/00  N  574.0M  E,143.8M,BONNYVILLE,562.0,VERTICAL,NEW,OIL SAND EVALUATION,CRUDE BITUMEN,2020-11-19,OV (C),FISHER,MCMURRAY FM,CENOVUS ENERGY INC.,05-02-070-04W4,2070044,47,11,2020,2070044,55.03148337,-110.48875670000001
CVE C14 FISHER 14-2-70-4,0498771,ALBERTA CROWN,669.1M,1AA/14-02-070-04W4/00  S  112.4M  E,534.9M,BONNYVILLE,555.0,VERTICAL,NEW,OIL SAND EVALUATION,CRUDE BITUMEN,2020-11-19,OV (C),FISHER,MCMURRAY FM,CENOVUS ENERGY INC.,14-02-070-04W4,2070044,47,11,2020,2070044,55.03148337,-110.48875670000001
