WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CNRL RE 5C2 8HZ WILDMERE 5-30-48-5,0467576,ALBERTA CROWN,651.5M,102/05-30-048-05W4/02  S  342.0M  E,442.2M,WAINWRIGHT,1719.3,HORIZONTAL,RESUMPTIO,PRODUCTION,CRUDE OIL,2021-01-27,REN (NC),WILDMERE,GENERAL PETROLEUM MBR,CANADIAN NATURAL RESOURCES LIMITED,14-19-048-05W4,19048054,4,1,2021,19048054,53.15419432,-110.7122925
JACOS W08 OB01 HANGSTN 12-13-84-11,0496322,ALBERTA CROWN,613.2M,100/12-13-084-11W4/00  S  734.1M  E,13.5M,BONNYVILLE,386.9,VERTICAL,RESUMPTIO,OBSERVATION,NONE,2021-01-27,OV (C),HANGINGSTONE,MCMURRAY FM,JAPAN CANADA OIL SANDS LIMITED,12-13-084-11W4,13084114,4,1,2021,13084114,56.28272831,-111.586224
JACOS W07 OB07 HANGSTN 5-24-84-11,0496326,ALBERTA CROWN,592.5M,100/05-24-084-11W4/00  N  438.5M  W,11.9M,BONNYVILLE,405.0,DIRECTIONAL,RESUMPTIO,OBSERVATION,NONE,2021-01-27,OV (C),HANGINGSTONE,MCMURRAY FM,JAPAN CANADA OIL SANDS LIMITED,08-23-084-11W4,23084114,4,1,2021,23084114,56.29718219,-111.6125583
JACOS OV2 HANGSTN 11-24-84-11,0496328,ALBERTA CROWN,590M,100/11-24-084-11W4/00  S  799.9M  W,662.6M,BONNYVILLE,411.0,DIRECTIONAL,RESUMPTIO,OBSERVATION,NONE,2021-01-27,OV (C),HANGINGSTONE,MCMURRAY FM,JAPAN CANADA OIL SANDS LIMITED,10-24-084-11W4,24084114,4,1,2021,24084114,56.29717829,-111.5862248
BEC HZ FBANK 3-24-43-28,0499392,BOTH,881.2M,104/03-24-043-28W4/00  S   85.3M  W,263.0M,RED DEER,5010.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-27,DEV (NC),FERRYBANK,UPPER MANNVILLE FM,BONAVISTA ENERGY CORPORATION,16-26-043-28W4,26043284,4,1,2021,26043284,52.7343559,-113.9461803
BEC HZ FBANK 2-24-43-28,0499393,BOTH,881M,102/02-24-043-28W4/00  S  105.3M  W,263.0M,RED DEER,5069.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-27,DEV (NC),FERRYBANK,UPPER MANNVILLE FM,BONAVISTA ENERGY CORPORATION,16-26-043-28W4,26043284,4,1,2021,26043284,52.7343559,-113.9461803
