WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CNRL 5C LIND 5-4-56-1,0497783,ALBERTA CROWN,696.5M,100/05-04-056-01W4/00  N  655.9M  E,113.9M,BONNYVILLE,658.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-02-25,DEV (NC),LINDBERGH,MCMURRAY FM,CANADIAN NATURAL RESOURCES LIMITED,05-04-056-01W4,4056014,9,2,2020,4056014,53.80972087,-110.07973419999999
GRL 1-4 HZ 100 PROGRESS 1-3-79-8,0497784,ALBERTA CROWN,705M,100/01-03-079-08W6/00  N  235.0M  W,70.0M,GRANDE PRAIRIE,1850.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-25,DEV (NC),PROGRESS,DOE CREEK MBR,GRIZZLY RESOURCES LTD.,01-04-079-08W6,4079086,9,2,2020,4079086,55.81806512,-119.17515900000001
JUPITER HZ KAKWA 12-15-62-5,0497785,ALBERTA CROWN,975.9M,100/12-15-062-05W6/00  S  211.4M  E,372.2M,GRANDE PRAIRIE,6252.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-25,DEV (NC),KAKWA,SPIRIT RIVER FM,JUPITER RESOURCES INC.,13-02-062-05W6,2062056,9,2,2020,2062056,54.33416215,-118.6250795
JUPITER HZ KAKWA 14-15-62-5,0497786,ALBERTA CROWN,971.7M,102/14-15-062-05W6/00  S  202.7M  E,360.0M,GRANDE PRAIRIE,6277.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-25,DEV (NC),KAKWA,SPIRIT RIVER FM,JUPITER RESOURCES INC.,13-02-062-05W6,2062056,9,2,2020,2062056,54.33416215,-118.6250795
WLEC 2A11 HZ PROVOST 11-7-40-2,0497787,FREEHOLD,692.5M,104/11-07-040-02W4/00  N  593.0M  E,499.2M,WAINWRIGHT,2800.0,HORIZONTAL,NEW,INJECTION,WATER,2020-02-25,DSW (NC),PROVOST,SPARKY MBR,WEST LAKE ENERGY CORP.,06-17-040-02W4,17040024,9,2,2020,17040024,52.44135359,-110.2450534
