WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
YANGARRA HZ 102 FERRIER 3-30-39-8,0499301,FREEHOLD,1051M,100/03-30-039-08W5/00  N  299.9M  W,165.0M,RED DEER,4107.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-19,DEV (NC),FERRIER,CARDIUM FM,YANGARRA RESOURCES CORP.,01-36-039-09W5,36039095,3,1,2021,36039095,52.39947261,-115.1529269
YANGARRA HZ FERRIER 3-30-39-9,0499302,ALBERTA CROWN,1051M,100/03-30-039-09W5/00  N  314.9M  W,164.9M,RED DEER,4278.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-19,DEV (NC),FERRIER,CARDIUM FM,YANGARRA RESOURCES CORP.,01-36-039-09W5,36039095,3,1,2021,36039095,52.39947261,-115.1529269
CNRL 16D LIND 16-4-55-4,0499303,ALBERTA CROWN,605.1M,100/16-04-055-04W4/00  S  331.5M  W,60.1M,BONNYVILLE,565.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2021-01-19,DEV (NC),LINDBERGH,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,16-04-055-04W4,4055044,3,1,2021,4055044,53.722446,-110.5252766
CEQUENCE HZ SIMON 10-31-61-26,0499304,ALBERTA CROWN,1010.5M,100/10-31-061-26W5/00  S  104.8M  E,128.5M,GRANDE PRAIRIE,6160.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),SIMONETTE,MONTNEY FM,CEQUENCE ENERGY LTD.,13-01-062-27W5,1062275,3,1,2021,1062275,54.33411138,-117.9011836
CEQUENCE HZ SIMON 11-31-61-26,0499305,ALBERTA CROWN,1010.4M,100/11-31-061-26W5/00  S  126.9M  E,95.2M,GRANDE PRAIRIE,5900.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),SIMONETTE,MONTNEY FM,CEQUENCE ENERGY LTD.,13-01-062-27W5,1062275,3,1,2021,1062275,54.33411138,-117.9011836
TQN BRAZR 15-27-44-11,0499306,ALBERTA CROWN,987.3M,100/15-27-044-11W5/00  S  132.4M  E,532.8M,DRAYTON VALLEY,5753.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),BRAZEAU RIVER,UPPER MANNVILLE FM,TAQA NORTH LTD.,14-15-044-11W5,15044115,3,1,2021,15044115,52.7925463,-115.50069
LONGSHORE HZ 103 PROVOST 13-22-39-6,0499307,ALBERTA CROWN,690.9M,103/13-22-039-06W4/00  N  739.6M  E,707.0M,WAINWRIGHT,1462.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-19,DEV (NC),PROVOST,DINA MBR,LONGSHORE RESOURCES LTD.,06-22-039-06W4,22039064,3,1,2021,22039064,52.368408,-110.7728429
RIDGEBACK HZ BONANZA 11-10-82-11,0499308,ALBERTA CROWN,621.9M,100/11-10-082-11W6/00  N  386.9M  E,80.7M,GRANDE PRAIRIE,4292.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-19,DEV (C),BONANZA,CHARLIE LAKE FM,RIDGEBACK RESOURCES INC.,04-22-082-11W6,22082116,3,1,2021,22082116,56.12340125,-119.6186355
7GEN HZ 102 KAKWA 3-4-64-4,0499309,ALBERTA CROWN,943.8M,102/03-04-064-04W6/00  N   32.1M  E,395.5M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,04-33-063-04W6,33063046,3,1,2021,33063046,54.49429356,-118.5290435
7GEN HZ KAKWA 4-4-64-4,0499310,ALBERTA CROWN,943.8M,100/04-04-064-04W6/00  N   31.8M  E,384.5M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,04-33-063-04W6,33063046,3,1,2021,33063046,54.49429356,-118.5290435
7GEN HZ 102 KAKWA 4-4-64-4,0499311,ALBERTA CROWN,943.8M,102/04-04-064-04W6/00  N   31.5M  E,373.5M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,04-33-063-04W6,33063046,3,1,2021,33063046,54.49429356,-118.5290435
7GEN HZ KAKWA 5-4-64-4,0499312,ALBERTA CROWN,943.8M,100/05-04-064-04W6/00  N   31.2M  E,362.5M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,04-33-063-04W6,33063046,3,1,2021,33063046,54.49429356,-118.5290435
SCL HZ FC132A KAYBOBS 2-4-63-20,0499313,ALBERTA CROWN,801.9M,100/02-04-063-20W5/00  N  436.6M  E,402.2M,ST. ALBERT,6204.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (NC),KAYBOB SOUTH,DUVERNAY FM,SHELL CANADA LIMITED,05-15-063-20W5,15063205,3,1,2021,15063205,54.45078569,-116.9250723
SCL HZ FC132B KAYBOBS 1-4-63-20,0499314,ALBERTA CROWN,801.9M,100/01-04-063-20W5/00  N  436.6M  E,407.1M,ST. ALBERT,6070.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (NC),KAYBOB SOUTH,DUVERNAY FM,SHELL CANADA LIMITED,06-15-063-20W5,15063205,3,1,2021,15063205,54.45078569,-116.9250723
SCL HZ FC132C KAYBOBS 4-3-63-20,0499315,ALBERTA CROWN,801.9M,100/04-03-063-20W5/00  N  436.6M  E,412.1M,ST. ALBERT,6017.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (NC),KAYBOB SOUTH,DUVERNAY FM,SHELL CANADA LIMITED,06-15-063-20W5,15063205,3,1,2021,15063205,54.45078569,-116.9250723
SCL HZ FC132D KAYBOBS 3-3-63-20,0499316,ALBERTA CROWN,801.9M,100/03-03-063-20W5/00  N  436.6M  E,417.0M,ST. ALBERT,6022.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (NC),KAYBOB SOUTH,DUVERNAY FM,SHELL CANADA LIMITED,06-15-063-20W5,15063205,3,1,2021,15063205,54.45078569,-116.9250723
SCL HZ FC132E KAYBOBS 2-3-63-20,0499317,ALBERTA CROWN,801.9M,100/02-03-063-20W5/00  N  436.6M  E,421.9M,ST. ALBERT,6044.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-19,DEV (NC),KAYBOB SOUTH,DUVERNAY FM,SHELL CANADA LIMITED,06-15-063-20W5,15063205,3,1,2021,15063205,54.45078569,-116.9250723
