WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/01-17-010-17W4/3,CNRL RE HZ TABERN 1-17-10-17,0456667,0Z41,Ensign Drilling Inc.,651,12 Feb 2020 01:30:00 AM,Medicine Hat,0HE9,Canadian Natural Resources Limited,,Resumption,2020-02-12,17010174,7,2,2020,17010174,49.82219621,-112.26268429999999
00/02-29-036-03W4/0,SURGE ENERGY HZ PROVOST 2-29-36-3,0496302,A08C,Savanna Drilling Corp.,431,12 Feb 2020 05:15:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Drill To LD,2020-02-12,29036034,7,2,2020,29036034,52.12119844,-110.38605559999999
03/05-21-042-11W4/0,GEAR HZ KILLAM 5-21-42-11,0497500,A6NZ,Lasso Drilling Corporation,4,12 Feb 2020 07:00:00 AM,Wainwright,A2JR,Gear Energy Ltd.,,Drill To LD,2020-02-12,21042114,7,2,2020,21042114,52.63058443,-111.5163896
03/04-09-063-05W6/0,7GEN HZ 103 KAKWA 4-9-63-5,0496209,0Y52,Precision Drilling Corporation,543,12 Feb 2020 02:00:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Drill To LD,2020-02-12,9063056,7,2,2020,9063056,54.43614492,-118.68003940000001
AB/12-12-073-07W4/0,CNRL 1AB KIRBY 12-12-73-7,0496697,A801,Stampede Drilling A Division Of Matrix Energy Technologi,15,12 Feb 2020 01:00:00 AM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Drill To LD,2020-02-12,12073074,7,2,2020,12073074,55.308198,-110.92979
AC/15-01-077-05W4/0,MEG HARDY 15-1-77-5,0496610,A57H,Predator Drilling Inc.,12,12 Feb 2020 11:00:00 AM,Bonnyville,0Z9C,MEG Energy Corp.,,Drill To LD,2020-02-12,1077054,7,2,2020,1077054,55.64269218,-110.6268493
AD/09-16-077-06W4/0,CVE D9 LEISMER 9-16-77-6,0495650,0Y52,Precision Drilling Corporation,135,12 Feb 2020 02:00:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-02-12,16077064,7,2,2020,16077064,55.67182591,-110.85977749999999
AA/08-24-077-07W4/0,CVE C8 LEISMER 8-24-77-7,0495665,0Y52,Precision Drilling Corporation,180,12 Feb 2020 03:00:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-02-12,24077074,7,2,2020,24077074,55.68629309,-110.937453
AB/09-01-084-11W4/0,JACOS HANGSTN 9-1-84-11,0496589,A6F5,Foraco Canada Ltd.,104,26 Jan 2020 11:30:00 PM,Bonnyville,0NY5,Japan Canada Oil Sands Limited,,Drill To LD,2020-02-12,1084114,7,2,2020,1084114,56.25364758,-111.5862225
00/09-10-092-08W4/0,SUNCOR  DW LEWIS 9-10-92-8,0496879,A57H,Predator Drilling Inc.,10,12 Feb 2020 09:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-02-12,10092084,7,2,2020,10092084,56.96626422,-111.18632649999999
AA/12-18-092-08W4/0,SUNCOR LEWIS 12-18-92-8,0496719,0Z41,Ensign Drilling Inc.,406,12 Feb 2020 09:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-02-12,18092084,7,2,2020,18092084,56.9808863,-111.2667682
00/10-30-092-08W4/0,SUNCOR OB LEWIS 10-30-92-8,0497252,0Z41,Ensign Drilling Inc.,402,11 Feb 2020 10:15:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-02-12,30092084,7,2,2020,30092084,57.009966299999995,-111.2667747
AA/04-36-092-08W4/0,SUNCOR LEWIS 4-36-92-8,0497303,0Z41,Ensign Drilling Inc.,403,11 Feb 2020 09:30:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-02-12,36092084,7,2,2020,36092084,57.02440523,-111.13268329999998
