WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/15-24-043-15W5/0,TOURMALINE HZ PLUTO 15-24-43-15,0498656,0Z41,Ensign Drilling Inc.,T038,25 Nov 2020 07:45:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-11-26,24043155,48,11,2020,24043155,52.71968104,-116.03254409999998
02/04-25-044-10W5/0,WINSLOW FERRIER 4-25-44-10,0497389,A6EC,Twilight Drilling Ltd.,1,26 Nov 2020 04:00:00 AM,Red Deer,A172,Winslow Resources Inc.,,Drill To LD,2020-11-26,25044105,48,11,2020,25044105,52.8216253,-115.3072685
00/14-22-073-24W4/0,SPL 9-20 HZ SMITH 14-22-73-24,0498408,0Y52,Precision Drilling Corporation,149,25 Nov 2020 08:30:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-11-26,22073244,48,11,2020,22073244,55.33725309,-113.5964037
00/15-26-073-25W4/0,SPL 15-35 HZ MARTENH 15-26-73-25,0498568,0Y52,Precision Drilling Corporation,147,26 Nov 2020 03:00:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Drill To LD,2020-11-26,26073254,48,11,2020,26073254,55.35184798,-113.7246013
00/02-36-076-08W5/0,SPL 1-31 HZ NIPISI 2-36-76-8,0498476,A2CL,Komat Drilling Ltd.,3,26 Nov 2020 11:00:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Set Surface,2020-11-26,36076085,48,11,2020,36076085,55.6284777,-115.0881063
