WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/07-28-015-14W4/0,TXNE 9A-34 HZ ALDSON 7-28-15-14,0496918,A08C,Savanna Drilling Corp.,410,29 Jan 2020 06:30:00 PM,Medicine Hat,A7NW,Torxen Energy Ltd.,,Drill To LD,2020-01-30,28015144,5,1,2020,28015144,50.28824352,-111.8605774
00/06-13-020-18W4/0,TXNE 6B-13 DV COUNTESS 6-13-20-18,0497209,A77K,Star Valley Drilling Ltd.,102,30 Jan 2020 05:00:00 PM,Midnapore,A7NW,Torxen Energy Ltd.,,Drill To LD,2020-01-30,13020184,5,1,2020,13020184,50.69578698,-112.35920990000001
00/06-15-034-08W4/0,TAC 1-22 HZ PROVOST 6-15-34-8,0497279,A8AF,Hertz & Paluck Energy Services Inc.,1,30 Jan 2020 11:30:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Set Surface,2020-01-30,15034084,5,1,2020,15034084,51.91826866,-111.04459150000001
02/10-32-036-07W4/0,KARVE 102 HZ PROVOST 10-32-36-7,0496761,A57H,Predator Drilling Inc.,27,30 Jan 2020 05:54:00 AM,Wainwright,A7BT,Karve Energy Inc.,,Set Surface,2020-01-30,32036074,5,1,2020,32036074,52.13566467,-110.95732279999999
00/09-13-037-08W5/0,WHITECAP HZ FERRIER 9-13-37-8,0497334,0Z41,Ensign Drilling Inc.,434,29 Jan 2020 11:00:00 AM,Red Deer,A5BE,Whitecap Resources Inc.,,Drill To LD,2020-01-30,13037085,5,1,2020,13037085,52.18095352,-115.0015186
00/08-01-042-06W5/0,BONTERRA HZ WILLGR 8-1-42-6,0497327,A2EN,Ironhand Drilling Inc.,1,29 Jan 2020 08:00:00 PM,Red Deer,0XZ4,Bonterra Energy Corp.,,Drill To LD,2020-01-30,1042065,5,1,2020,1042065,52.58864779,-114.72152959999998
02/01-20-049-11W5/0,WHITECAP PEMBINA 1-20-49-11,0496629,0Y52,Precision Drilling Corporation,225,29 Jan 2020 09:00:00 PM,Drayton Valley,A5BE,Whitecap Resources Inc.,,Drill To LD,2020-01-30,20049115,5,1,2020,20049115,53.24331665,-115.5620557
00/06-14-062-19W5/0,CHEVRON HZ FOXCK 6-14-62-19,0493642,0Z41,Ensign Drilling Inc.,144,30 Jan 2020 09:30:00 AM,St. Albert,0045,Chevron Canada Limited,,Resumption,2020-01-30,14062195,5,1,2020,14062195,54.36322843,-116.7265774
00/04-18-066-05W6/0,PARA HZ KARR 4-18-66-5,0495188,A5DR,Fox Drilling Inc.,3,30 Jan 2020 06:00:00 AM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Set Surface,2020-01-30,18066056,5,1,2020,18066056,54.71258226,-118.7304018
03/12-15-073-10W6/0,HUSKY 103 HZ WEMBLEY 12-15-73-10,0496303,A0KC,Horizon Drilling Inc.,37,30 Jan 2020 01:45:00 PM,Grande Prairie,0R46,Husky Oil Operations Limited,,Drill To LD,2020-01-30,15073106,5,1,2020,15073106,55.32332882,-119.43607079999998
AB/13-03-077-06W4/0,CVE A13 HARDY 13-3-77-6,0495611,0Y52,Precision Drilling Corporation,135,30 Jan 2020 04:45:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-01-30,3077064,5,1,2020,3077064,55.64273296,-110.8338999
