WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/13-23-048-06W4/0,HUSKY 3HZ T2 WILDMERE 13-23-48-6,0497591,0Y52,Precision Drilling Corporation,197,19 Nov 2020 03:30:00 AM,Wainwright,0R46,Husky Oil Operations Limited,,Drill To LD,2020-11-19,23048064,47,11,2020,23048064,53.15413957,-110.7609824
00/15-16-050-17W5/0,BEC HZ EDSON 15-16-50-17,0498654,A08C,Savanna Drilling Corp.,631,19 Nov 2020 09:00:00 AM,Drayton Valley,A5RX,Bonavista Energy Corporation,,Drill To LD,2020-11-19,16050175,47,11,2020,16050175,53.31610152,-116.41503190000002
00/09-28-057-01W6/0,TOURMALINE HZ SMOKY 9-28-57-1,0498037,A6PR,Nabors Drilling Canada Limited,58AC,19 Nov 2020 05:30:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-11-19,28057016,47,11,2020,28057016,53.95592373,-118.0745967
00/13-27-068-25W5/0,ARC HZ ANTEN 13-27-68-25,0498326,0Y52,Precision Drilling Corporation,465,19 Nov 2020 02:00:00 PM,Grande Prairie,0G30,ARC Resources Ltd.,,Drill To LD,2020-11-19,27068255,47,11,2020,27068255,54.91596009,-117.7132107
03/04-23-072-09W6/0,ECA HZ 103 WEMBLEY 4-23-72-9,0495354,0Y52,Precision Drilling Corporation,534,18 Nov 2020 08:30:00 PM,Grande Prairie,0026,Ovintiv Canada ULC,,Drill To LD,2020-11-19,23072096,47,11,2020,23072096,55.25052289999999,-119.25663300000001
00/09-36-076-08W5/0,SPL 12-32 HZ NIPISI 9-36-76-8,0498623,0GE9,Tempco Drilling Company Inc.,7,19 Nov 2020 05:00:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Drill To LD,2020-11-19,36076085,47,11,2020,36076085,55.6284777,-115.0881063
