WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/02-03-035-08W4/0,KARVE HZ PROVOST 2-3-35-8,0498412,A8AF,Hertz & Paluck Energy Services Inc.,1,29 Sep 2020 01:49:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Set Surface,2020-09-29,3035084,40,9,2020,3035084,51.97578781,-111.05271409999999
00/05-21-062-03W6/0,STRATH HZ LATOR 5-21-62-3,0497766,0Y52,Precision Drilling Corporation,529,29 Sep 2020 10:00:00 AM,Grande Prairie,A8FG,Strathcona Resources Ltd.,,Resumption,2020-09-29,21062036,40,9,2020,21062036,54.37770456,-118.375184
04/15-14-074-25W4/0,DELTASTREAM MARTENH 15-14-74-25,0498323,A2CL,Komat Drilling Ltd.,3,29 Sep 2020 09:30:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2020-09-29,14074254,40,9,2020,14074254,55.41003099,-113.72465759999999
14/07-13-082-12W4/0,CLC 202 INF05 DIVIDE 7-13-82-12,0498288,0Y52,Precision Drilling Corporation,199,29 Sep 2020 09:15:00 AM,Bonnyville,0A9H,Connacher Oil And Gas Limited,,Drill To LD,2020-09-29,13082124,40,9,2020,13082124,56.10804195,-111.7283996
