WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/08-27-034-08W4/0,TAC 16-26 HZ PROVOST 8-27-34-8,0498160,0GE9,Tempco Drilling Company Inc.,5,12 Aug 2020 10:45:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2020-08-12,27034084,33,8,2020,27034084,51.94738451,-111.04461140000001
02/05-16-046-15W5/0,TOURMALINE HZ COLUMBIA 5-16-46-15,0498102,0Z41,Ensign Drilling Inc.,T038,12 Aug 2020 03:15:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-08-12,16046155,33,8,2020,16046155,52.96714971,-116.1050593
02/14-33-051-16W5/0,TOURMALINE 102 HZ EDSON 14-33-51-16,0498147,A6PR,Nabors Drilling Canada Limited,16,11 Aug 2020 07:30:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Resumption,2020-08-12,33051165,33,8,2020,33051165,53.44660115,-116.28663300000001
S0/16-18-063-21W4/0,CRESTWYND HZ MEANOOK 16-18-63-21,0498088,0Y52,Precision Drilling Corporation,187,12 Aug 2020 08:00:00 AM,St. Albert,A7MT,Crestwynd Exploration Ltd.,,Drill To LD,2020-08-12,18063214,33,8,2020,18063214,54.44900276,-113.1565135
