WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
02/02-26-041-06W5/0,INPLAY OIL HZ WILLGR 2-26-41-6,0497836,A2EN,Ironhand Drilling Inc.,9,29 Nov 2020 02:30:00 PM,Red Deer,A6JK,InPlay Oil Corp.,,Drill To LD,2020-11-30,26041065,49,11,2020,26041065,52.55955343,-114.7454477
00/09-23-041-11W5/0,PEYTO CHAMBERS 9-23-41-11,0498249,A08C,Savanna Drilling Corp.,616,30 Nov 2020 11:45:00 AM,Red Deer,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2020-11-30,23041115,49,11,2020,23041115,52.54491154,-115.4648269
00/04-30-045-09W5/0,CVE 100 HZ PEMBINA 4-30-45-9,0498597,0Z41,Ensign Drilling Inc.,449,30 Nov 2020 05:09:00 AM,Drayton Valley,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-11-30,30045095,49,11,2020,30045095,52.90894616,-115.2831263
00/05-12-064-10W5/0,CPEC HZ JUDYCK 5-12-64-10,0498481,A0KC,Horizon Drilling Inc.,46,30 Nov 2020 02:15:00 PM,St. Albert,A2J6,Crescent Point Energy Corp.,,Drill To LD,2020-11-30,12064105,49,11,2020,12064105,54.52311115,-115.3624883
04/04-12-075-25W4/0,SPL 3-13 HZ 104 MARTENH 4-12-75-25,0498560,A2CL,Komat Drilling Ltd.,3,30 Nov 2020 02:30:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Set Surface,2020-11-30,12075254,49,11,2020,12075254,55.48262047,-113.73214180000001
