WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
02/09-17-039-08W5/0,OUC 102 HZ FERRIER 9-17-39-8,0494020,0Z41,Ensign Drilling Inc.,225,09 Dec 2020 03:00:00 PM,Red Deer,A2DE,ORLEN Upstream Canada Ltd.,,Drill To LD,2020-12-09,17039085,50,12,2020,17039085,52.35582253,-115.10500929999999
02/14-25-048-06W4/0,HUSKY 3HZ T4 WILDMERE 14-25-48-6,0497593,0Y52,Precision Drilling Corporation,197,08 Dec 2020 04:30:00 PM,Wainwright,0R46,Husky Oil Operations Limited,,Drill To LD,2020-12-09,25048064,50,12,2020,25048064,53.168804,-110.73664709999998
03/03-06-066-04W6/0,PARA HZ 103 KARR 3-6-66-4,0498453,A5DR,Fox Drilling Inc.,7,09 Dec 2020 04:37:00 AM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Set Surface,2020-12-09,6066046,50,12,2020,6066046,54.68346476,-118.57942079999998
02/16-32-066-04W6/0,PARA HZ 102 ELM 16-32-66-4,0498803,A5DR,Fox Drilling Inc.,3,09 Dec 2020 05:00:00 PM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Drill To LD,2020-12-09,32066046,50,12,2020,32066046,54.75610796,-118.55423909999999
02/04-11-074-25W4/0,DELTASTREAM MARTENH 4-11-74-25,0498316,A0KC,Horizon Drilling Inc.,51,09 Dec 2020 01:30:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Resumption,2020-12-09,11074254,50,12,2020,11074254,55.395397200000005,-113.72465729999999
02/10-36-094-06W4/0,SUNCOR P118P3 FIREBAG 10-36-94-6,0474645,0Y52,Precision Drilling Corporation,151,08 Dec 2020 05:30:00 PM,Bonnyville,0054,Suncor Energy Inc.,1812,Resumption,2020-12-09,36094064,50,12,2020,36094064,57.19889078,-110.8107376
