WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
00/15-33-034-08W4/0,TAC 7-32 HZ PROVOST 15-33-34-8,0498525,A8AF,Hertz & Paluck Energy Services Inc.,1,14 Oct 2020 08:15:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Set Surface,2020-10-14,33034084,42,10,2020,33034084,51.96186177,-111.06825740000001
04/16-07-042-05W5/0,YANGARRA WILLGR 16-7-42-5,0498534,A801,Stampede Drilling A Division Of Matrix Energy Technologi,5,14 Oct 2020 08:00:00 AM,Red Deer,0LN7,Yangarra Resources Corp.,,Drill To LD,2020-10-14,7042055,42,10,2020,7042055,52.603113,-114.69752240000001
00/01-36-053-19W5/0,PEYTO EDSON 1-36-53-19,0498176,0Z41,Ensign Drilling Inc.,T401,13 Oct 2020 11:00:00 PM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2020-10-14,36053195,42,10,2020,36053195,53.62115102,-116.654881
00/03-34-065-05W6/0,PARA HZ KARR 3-34-65-5,0498182,A5DR,Fox Drilling Inc.,3,14 Oct 2020 03:23:00 PM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Resumption,2020-10-14,34065056,42,10,2020,34065056,54.66886487,-118.65495049999998
