WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
SUNCOR C4PB DOVER 15-4-93-12,0248247,ALBERTA CROWN,399.5M,102/15-04-093-12W4/02  N  738.5M  E,24.3M,BONNYVILLE,1385.0,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-01-31,DEV (NC),UNDEFINED,MCMURRAY FM,SUNCOR ENERGY INC.,05-04-093-12W4,4093124,5,1,2020,4093124,57.03904957,-111.8569294
HUSKY 3HZ T1 WILDMERE 12-23-48-6,0497590,FREEHOLD,647M,100/12-23-048-06W4/00  S  505.7M  E,283.1M,WAINWRIGHT,2496.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (NC),WILDMERE,GENERAL PETROLEUM MBR,HUSKY OIL OPERATIONS LIMITED,12-24-048-06W4,24048064,5,1,2020,24048064,53.15418451,-110.7366417
HUSKY 3HZ T2 WILDMERE 13-23-48-6,0497591,FREEHOLD,647.2M,100/13-23-048-06W4/00  S  500.5M  E,293.9M,WAINWRIGHT,2479.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (NC),WILDMERE,GENERAL PETROLEUM MBR,HUSKY OIL OPERATIONS LIMITED,12-24-048-06W4,24048064,5,1,2020,24048064,53.15418451,-110.7366417
HUSKY 3HZ T3 WILDMERE 13-25-48-6,0497592,FREEHOLD,647.5M,100/13-25-048-06W4/00  S  495.3M  E,304.7M,WAINWRIGHT,2567.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (NC),WILDMERE,GENERAL PETROLEUM MBR,HUSKY OIL OPERATIONS LIMITED,12-24-048-06W4,24048064,5,1,2020,24048064,53.15418451,-110.7366417
HUSKY 3HZ T4 WILDMERE 14-25-48-6,0497593,FREEHOLD,647.9M,102/14-25-048-06W4/00  S  490.1M  E,315.5M,WAINWRIGHT,2741.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (NC),WILDMERE,GENERAL PETROLEUM MBR,HUSKY OIL OPERATIONS LIMITED,12-24-048-06W4,24048064,5,1,2020,24048064,53.15418451,-110.7366417
FHEC 19-GT993-MR1-VW 3-21-96-10,0497594,ALBERTA CROWN,293M,102/03-21-096-10W4/00  N  181.5M  E,473.7M,BONNYVILLE,161.0,VERTICAL,NEW,OBSERVATION,NONE,2020-01-31,DSW (NC),UNDEFINED,BEAVERHILL LAKE GRP,FORT HILLS ENERGY CORPORATION,03-21-096-10W4,21096104,5,1,2020,21096104,57.34442379,-111.5503889
PEYTO SUNDANCE 6-12-55-21,0497595,ALBERTA CROWN,1142.8M,102/06-12-055-21W5/00  S  211.9M  E,709.0M,DRAYTON VALLEY,5270.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-01-31,DEV (NC),SUNDANCE,WILRICH MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,14-35-054-21W5,35054215,5,1,2020,35054215,53.70838477,-116.9740365
RSO HZ 103 HAYTER 10-19-41-1,0497596,FREEHOLD,661.4M,103/10-19-041-01W4/00  S   64.5M  E,433.9M,WAINWRIGHT,1253.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (NC),HAYTER,DINA MBR,RIFLE SHOT OIL CORP.,14-19-041-01W4,19041014,5,1,2020,19041014,52.54315562,-110.12511609999999
RIDGEBACK HZ BONANZA 4-10-83-11,0497597,ALBERTA CROWN,621.2M,100/04-10-083-11W6/00  S  435.2M  E,594.1M,GRANDE PRAIRIE,4066.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,XPL (C),BONANZA,BELLOY FM,RIDGEBACK RESOURCES INC.,11-15-083-11W6,15083116,5,1,2020,15083116,56.19547958,-119.6356251
RSO HZ 104 HAYTER 10-19-41-1,0497598,FREEHOLD,661.5M,104/10-19-041-01W4/00  S   64.5M  E,423.9M,WAINWRIGHT,1362.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (NC),HAYTER,DINA MBR,RIFLE SHOT OIL CORP.,14-19-041-01W4,19041014,5,1,2020,19041014,52.54315562,-110.12511609999999
CROVERROENERGY SWIMMING 13-24-52-5,0497599,FREEHOLD,613.4M,100/13-24-052-05W4/00  S  196.0M  E,236.9M,WAINWRIGHT,635.0,VERTICAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (C),SWIMMING,DINA MBR,CROVERRO ENERGY LTD.,13-24-052-05W4,24052054,5,1,2020,24052054,53.50429295,-110.59595549999999
CROVERROENERGY HZ RIVERCRS 5-1-48-1,0497600,FREEHOLD,645.1M,102/05-01-048-01W4/00  S  211.4M  W,230.8M,WAINWRIGHT,1050.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-01-31,DEV (C),RIVERCOURSE,CUMMINGS MBR,CROVERRO ENERGY LTD.,16-35-047-01W4,35047014,5,1,2020,35047014,53.09603131,-110.0299831
