WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
PEYTO NOSEHILL 1-3-55-20,0497984,ALBERTA CROWN,1185.2M,100/01-03-055-20W5/00  S  497.6M  W,704.6M,DRAYTON VALLEY,5325.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-04-14,DEV (NC),NOSEHILL,WILRICH MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,10-10-055-20W5,10055205,16,4,2020,10055205,53.73734993,-116.87529579999999
PEYTO NOSEHILL 3-3-55-20,0497985,ALBERTA CROWN,1185.2M,100/03-03-055-20W5/00  S  497.6M  W,709.3M,DRAYTON VALLEY,5250.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-04-14,DEV (NC),NOSEHILL,WILRICH MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,10-10-055-20W5,10055205,16,4,2020,10055205,53.73734993,-116.87529579999999
IMP 20 N01W 735 LEMING 8-35-66-3,0497986,ALBERTA CROWN,650.9M,103/08-35-066-03W4/00  S  720.4M  E,1.9M,BONNYVILLE,466.0,SLANT,NEW,OBSERVATION,NONE,2020-04-14,DSW (NC),UNDEFINED,GRAND RAPIDS FM,IMPERIAL OIL RESOURCES LIMITED,12-36-066-03W4,36066034,16,4,2020,36066034,54.75514419,-110.308659
