WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
PEYTO SUNDANCE 15-10-56-21,0498138,ALBERTA CROWN,1210.4M,100/15-10-056-21W5/00  S  197.1M  W,572.4M,DRAYTON VALLEY,4400.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-30,DEV (NC),SUNDANCE,BLUESKY FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,15-03-056-21W5,3056215,27,6,2020,3056215,53.81022873,-117.0240746
PEYTO SUNDANCE 16-10-56-21,0498139,ALBERTA CROWN,1210.4M,102/16-10-056-21W5/00  S  201.9M  W,571.6M,DRAYTON VALLEY,4450.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-30,DEV (NC),SUNDANCE,BLUESKY FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,15-03-056-21W5,3056215,27,6,2020,3056215,53.81022873,-117.0240746
PEYTO LAWRNC 14-17-42-12,0498140,ALBERTA CROWN,1287.2M,100/14-17-042-12W5/00  S  588.8M  W,686.7M,RED DEER,4500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-30,DEV (C),LAWRENCE,CARDIUM FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,10-19-042-12W5,19042125,27,6,2020,19042125,52.63218519,-115.7045425
ENHANCEENERGY CLIVE 10-27-39-24,0498141,FREEHOLD,845.4M,100/10-27-039-24W4/00  N  615.8M  W,605.0M,RED DEER,3864.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-06-30,DEV (NC),CLIVE,LEDUC FM,ENHANCE ENERGY INC.,07-35-039-24W4,35039244,27,6,2020,35039244,52.39779213,-113.3395172
ENHANCEENERGY CLIVE 3-1-40-24,0498142,BOTH,845.8M,100/03-01-040-24W4/00  N  630.8M  W,605.0M,RED DEER,3467.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-06-30,DEV (NC),CLIVE,LEDUC FM,ENHANCE ENERGY INC.,07-35-039-24W4,35039244,27,6,2020,35039244,52.39779213,-113.3395172
ENHANCEENERGY CLIVE 14-1-40-24,0498143,BOTH,871.6M,100/14-01-040-24W4/00  N  320.1M  W,635.4M,RED DEER,3249.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-06-30,DEV (NC),CLIVE,LEDUC FM,ENHANCE ENERGY INC.,02-02-040-24W4,2040244,27,6,2020,2040244,52.41240623,-113.33946040000001
ENHANCEENERGY CLIVE 7-34-39-24,0498144,BOTH,871.7M,100/07-34-039-24W4/00  N  305.1M  W,635.0M,RED DEER,3681.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-06-30,DEV (NC),CLIVE,LEDUC FM,ENHANCE ENERGY INC.,02-02-040-24W4,2040244,27,6,2020,2040244,52.41240623,-113.33946040000001
OVV HZ 103 WEMBLEY 15-25-71-9,0498145,ALBERTA CROWN,817.4M,102/15-25-071-09W6/00  S  125.0M  E,163.4M,GRANDE PRAIRIE,5767.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-30,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,13-35-071-09W6,35071096,27,6,2020,35071096,55.19235495,-119.25662150000001
OVV HZ 104 WEMBLEY 15-25-71-9,0498146,ALBERTA CROWN,817.5M,103/15-25-071-09W6/00  S  125.0M  E,173.4M,GRANDE PRAIRIE,5767.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-30,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,13-35-071-09W6,35071096,27,6,2020,35071096,55.19235495,-119.25662150000001
