WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
SUNCOR P118P3B FIREBAG 10-36-94-6,0474645,ALBERTA CROWN,591.9M,102/10-36-094-06W4/02  S  795.9M  W,382.8M,BONNYVILLE,1801.4,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),UNDEFINED,MCMURRAY FM,SUNCOR ENERGY INC.,09-35-094-06W4,35094064,50,12,2020,35094064,57.19888529,-110.83756389999999
RHE 102 PERRY 13-20-63-23,0498936,ALBERTA CROWN,663.9M,102/13-20-063-23W4/00  S  329.5M  W,215.0M,ST. ALBERT,2900.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (C),PERRYVALE,CLEARWATER FM,ROLLING HILLS ENERGY LTD.,16-24-063-24W4,24063244,50,12,2020,24063244,54.46348387,-113.4840146
RHE 102 PERRY 12-20-63-23,0498937,ALBERTA CROWN,663.8M,100/12-20-063-23W4/00  S  349.5M  W,215.1M,ST. ALBERT,2900.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (C),PERRYVALE,CLEARWATER FM,ROLLING HILLS ENERGY LTD.,16-24-063-24W4,24063244,50,12,2020,24063244,54.46348387,-113.4840146
TOURMALINE HZ BRAZR 14-11-44-14,0498938,ALBERTA CROWN,1069.3M,100/14-11-044-14W5/00  N  253.0M  W,153.2M,DRAYTON VALLEY,5100.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-08,DEV (NC),BRAZEAU RIVER,VIKING FM,TOURMALINE OIL CORP.,01-22-044-14W5,22044145,50,12,2020,22044145,52.80700666,-115.93584369999999
OBE HZ 103 WILLGR 14-3-42-6,0498939,ALBERTA CROWN,1080.3M,103/14-03-042-06W5/00  N  411.4M  W,75.1M,RED DEER,5000.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (NC),WILLESDEN GREEN,CARDIUM FM,OBSIDIAN ENERGY LTD.,08-33-041-06W5,33041065,50,12,2020,33041065,52.57402474,-114.79335139999999
OBE HZ 102 WILLGR 1-35-41-6,0498940,ALBERTA CROWN,1080.3M,102/01-35-041-06W5/00  N  396.4M  W,75.1M,RED DEER,5300.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (NC),WILLESDEN GREEN,CARDIUM FM,OBSIDIAN ENERGY LTD.,01-33-041-06W5,33041065,50,12,2020,33041065,52.57402474,-114.79335139999999
ATH L7P6 LEISMER 15-15-78-10,0498941,ALBERTA CROWN,635.8M,106/15-15-078-10W4/00  S  175.3M  E,614.5M,BONNYVILLE,2019.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,ATHABASCA OIL CORPORATION,14-22-078-10W4,22078104,50,12,2020,22078104,55.77352526,-111.45502739999999
ATH L7I6 LEISMER 15-15-78-10,0498942,ALBERTA CROWN,635.9M,107/15-15-078-10W4/00  S  175.3M  E,624.5M,BONNYVILLE,2011.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,ATHABASCA OIL CORPORATION,14-22-078-10W4,22078104,50,12,2020,22078104,55.77352526,-111.45502739999999
RHE 100 MEANOOK 1-30-63-22,0498943,ALBERTA CROWN,680.3M,100/01-30-063-22W4/00  N  560.2M  E,210.6M,ST. ALBERT,2900.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (C),MEANOOK,CLEARWATER FM,ROLLING HILLS ENERGY LTD.,05-28-063-22W4,28063224,50,12,2020,28063224,54.47811316,-113.2573077
TXNE 5C-7 HZ  ALDSON 5-8-15-13,0498944,FREEHOLD,744.5M,100/05-08-015-13W4/00  N  709.1M  E,142.2M,MEDICINE HAT,2600.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (NC),ALDERSON,ELLERSLIE MBR,TORXEN ENERGY LTD.,05-07-015-13W4,7015134,50,12,2020,7015134,50.24450201,-111.7687963
RHE 102 MEANOOK 8-30-63-22,0498945,ALBERTA CROWN,680.3M,102/08-30-063-22W4/00  N  600.2M  E,210.6M,ST. ALBERT,2900.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-08,DEV (C),MEANOOK,CLEARWATER FM,ROLLING HILLS ENERGY LTD.,05-28-063-22W4,28063224,50,12,2020,28063224,54.47811316,-113.2573077
MEG AH13I HARDY 10-20-77-5,0498946,ALBERTA CROWN,569.4M,106/10-20-077-05W4/00  N  660.7M  W,313.6M,BONNYVILLE,1612.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),WATER,2020-12-08,DSW (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH13P HARDY 10-20-77-5,0498947,ALBERTA CROWN,569.4M,107/10-20-077-05W4/00  N  667.3M  W,286.4M,BONNYVILLE,1600.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH14I HARDY 15-20-77-5,0498948,ALBERTA CROWN,569.4M,103/15-20-077-05W4/00  N  670.4M  W,316.0M,BONNYVILLE,1621.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),WATER,2020-12-08,DSW (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH14P HARDY 15-20-77-5,0498949,ALBERTA CROWN,569.4M,104/15-20-077-05W4/00  N  677.0M  W,288.8M,BONNYVILLE,1610.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH15I HARDY 4-29-77-5,0498950,ALBERTA CROWN,569.4M,108/04-29-077-05W4/00  N  680.1M  W,318.4M,BONNYVILLE,1617.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),WATER,2020-12-08,DSW (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH15P HARDY 4-29-77-5,0498951,ALBERTA CROWN,569.4M,109/04-29-077-05W4/00  N  686.8M  W,291.1M,BONNYVILLE,1606.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH16I HARDY 4-29-77-5,0498952,ALBERTA CROWN,569.4M,110/04-29-077-05W4/00  N  689.8M  W,320.7M,BONNYVILLE,1626.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),WATER,2020-12-08,DSW (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH16P HARDY 4-29-77-5,0498953,ALBERTA CROWN,569.4M,111/04-29-077-05W4/00  N  696.5M  W,293.5M,BONNYVILLE,1621.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH17I HARDY 4-29-77-5,0498954,ALBERTA CROWN,569.4M,112/04-29-077-05W4/00  N  699.6M  W,323.1M,BONNYVILLE,1646.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),WATER,2020-12-08,DSW (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH17P HARDY 4-29-77-5,0498955,ALBERTA CROWN,569.4M,113/04-29-077-05W4/00  N  706.2M  W,295.9M,BONNYVILLE,1643.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH18I HARDY 4-30-77-5,0498956,ALBERTA CROWN,569.4M,104/04-30-077-05W4/00  N  709.3M  W,325.5M,BONNYVILLE,1762.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),WATER,2020-12-08,DSW (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
MEG AH18P HARDY 4-30-77-5,0498957,ALBERTA CROWN,569.4M,105/04-30-077-05W4/00  N  715.9M  W,298.3M,BONNYVILLE,1776.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-08,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,08-19-077-05W4,19077054,50,12,2020,19077054,55.68625552,-110.75625579999999
CVE G05I01 LEISMER 1-16-76-6,0498958,ALBERTA CROWN,584.4M,107/01-16-076-06W4/00  S  236.9M  W,393.6M,BONNYVILLE,2350.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,16-04-076-06W4,4076064,50,12,2020,4076064,55.55547506,-110.8597759
CVE G05I02 LEISMER 8-16-76-6,0498959,ALBERTA CROWN,584.4M,103/08-16-076-06W4/00  S  236.9M  W,403.6M,BONNYVILLE,2995.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,50,12,2020,4076064,55.55547506,-110.8597759
CVE G05I03 LEISMER 8-16-76-6,0498960,ALBERTA CROWN,584.4M,104/08-16-076-06W4/00  S  236.8M  W,413.6M,BONNYVILLE,2985.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,50,12,2020,4076064,55.55547506,-110.8597759
CVE G05I04 LEISMER 1-16-76-6,0498961,ALBERTA CROWN,584.4M,108/01-16-076-06W4/00  S  236.8M  W,423.7M,BONNYVILLE,2405.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,50,12,2020,4076064,55.55547506,-110.8597759
CVE G05I05 LEISMER 1-16-76-6,0498962,ALBERTA CROWN,584.4M,109/01-16-076-06W4/00  S  236.8M  W,433.6M,BONNYVILLE,2300.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,50,12,2020,4076064,55.55547506,-110.8597759
CVE G05I06 LEISMER 2-16-76-6,0498963,ALBERTA CROWN,584.4M,104/02-16-076-06W4/00  S  236.8M  W,443.7M,BONNYVILLE,2345.0,HORIZONTAL,NEW,INJECTION,WATER,2020-12-08,DSW (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,50,12,2020,4076064,55.55547506,-110.8597759
