WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CNRL 4B ETHELLK 4-4-64-3,0497704,ALBERTA CROWN,551.9M,100/04-04-064-03W4/00  N  537.6M  E,218.4M,BONNYVILLE,649.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-02-13,DEV (NC),ETHEL LAKE,SPARKY MBR,CANADIAN NATURAL RESOURCES LIMITED,05-04-064-03W4,4064034,7,2,2020,4064034,54.50797321,-110.38399740000001
CNRL 4C ETHELLK 4-4-64-3,0497705,ALBERTA CROWN,551.9M,102/04-04-064-03W4/00  N  550.3M  E,210.5M,BONNYVILLE,494.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-02-13,DEV (NC),ETHEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,05-04-064-03W4,4064034,7,2,2020,4064034,54.50797321,-110.38399740000001
CNRL 5D ETHELLK 5-4-64-3,0497706,ALBERTA CROWN,551.9M,100/05-04-064-03W4/00  N  577.9M  E,218.8M,BONNYVILLE,420.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-02-13,DEV (NC),ETHEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,05-04-064-03W4,4064034,7,2,2020,4064034,54.50797321,-110.38399740000001
CNRL 8C ETHELLK 8-5-64-3,0497707,ALBERTA CROWN,551.9M,100/08-05-064-03W4/00  N  565.8M  E,209.9M,BONNYVILLE,616.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-02-13,DEV (NC),ETHEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,05-04-064-03W4,4064034,7,2,2020,4064034,54.50797321,-110.38399740000001
CROVERROENERGY SWIMMING 8-26-52-5,0497708,FREEHOLD,620.1M,100/08-26-052-05W4/00  N  580.2M  W,115.0M,WAINWRIGHT,640.0,VERTICAL,NEW,PRODUCTION,CRUDE OIL,2020-02-13,DEV (C),SWIMMING,CUMMINGS MBR,CROVERRO ENERGY LTD.,08-26-052-05W4,26052054,7,2,2020,26052054,53.51894791,-110.6205733
VESTA MORNSIDE 13-2-41-27,0497709,BOTH,863M,100/13-02-041-27W4/00  N  683.4M  E,689.5M,RED DEER,6800.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-13,DEV (C),MORNINGSIDE,DUVERNAY FM,VESTA ENERGY LTD.,06-26-040-27W4,26040274,7,2,2020,26040274,52.47042289,-113.771425
VESTA MORNSIDE 13-2-41-27,0497710,BOTH,863.2M,102/13-02-041-27W4/00  N  683.4M  E,699.5M,RED DEER,6800.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-13,DEV (C),MORNINGSIDE,DUVERNAY FM,VESTA ENERGY LTD.,06-26-040-27W4,26040274,7,2,2020,26040274,52.47042289,-113.771425
PEYTO SUNDANCE 6-14-55-21,0497711,ALBERTA CROWN,1130.2M,102/06-14-055-21W5/00  N   48.1M  E,195.3M,DRAYTON VALLEY,4900.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-13,DEV (NC),SUNDANCE,WILRICH MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,04-11-055-21W5,11055215,7,2,2020,11055215,53.73745702,-116.99917090000001
WLEC MHZ 4A5 PROVOST 5-15-38-3,0497712,ALBERTA CROWN,678.9M,103/05-15-038-03W4/00  S  736.4M  E,297.1M,WAINWRIGHT,2000.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-13,DEV (NC),PROVOST,GENERAL PETROLEUM MBR,WEST LAKE ENERGY CORP.,12-10-038-03W4,10038034,7,2,2020,10038034,52.25217542,-110.338399
7GEN HZ KARR 5-27-64-4,0497713,ALBERTA CROWN,913M,100/05-27-064-04W6/00  N  447.9M  W,109.6M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-13,DEV (NC),KARR,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,08-23-064-04W6,23064046,7,2,2020,23064046,54.55245998,-118.4787122
