WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
ARC HZ ANTEN 5-34-68-25,0498324,ALBERTA CROWN,706.6M,100/05-34-068-25W5/00  N  550.5M  E,545.2M,GRANDE PRAIRIE,4222.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-28,DEV (NC),ANTE CREEK NORTH,MONTNEY FM,ARC RESOURCES LTD.,06-26-068-25W5,26068255,35,8,2020,26068255,54.91595324,-117.68778600000002
ARC HZ ANTEN 4-34-68-25,0498325,ALBERTA CROWN,706.7M,100/04-34-068-25W5/00  N  540.5M  E,545.1M,GRANDE PRAIRIE,4151.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-28,DEV (NC),ANTE CREEK NORTH,MONTNEY FM,ARC RESOURCES LTD.,06-26-068-25W5,26068255,35,8,2020,26068255,54.91595324,-117.68778600000002
ARC HZ ANTEN 13-27-68-25,0498326,ALBERTA CROWN,706.6M,100/13-27-068-25W5/00  N  530.5M  E,545.1M,GRANDE PRAIRIE,4234.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-28,DEV (NC),ANTE CREEK NORTH,MONTNEY FM,ARC RESOURCES LTD.,06-26-068-25W5,26068255,35,8,2020,26068255,54.91595324,-117.68778600000002
ARC HZ ANTEN 11-24-68-25,0498327,ALBERTA CROWN,706.4M,100/11-24-068-25W5/00  N  520.5M  E,545.1M,GRANDE PRAIRIE,3870.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-28,DEV (NC),ANTE CREEK NORTH,MONTNEY FM,ARC RESOURCES LTD.,06-26-068-25W5,26068255,35,8,2020,26068255,54.91595324,-117.68778600000002
ARC HZ ANTEN 6-24-68-25,0498328,ALBERTA CROWN,706M,100/06-24-068-25W5/00  N  510.5M  E,545.1M,GRANDE PRAIRIE,3832.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-28,DEV (NC),ANTE CREEK NORTH,MONTNEY FM,ARC RESOURCES LTD.,06-26-068-25W5,26068255,35,8,2020,26068255,54.91595324,-117.68778600000002
ARC HZ ANTEN 5-24-68-25,0498329,ALBERTA CROWN,705.7M,100/05-24-068-25W5/00  N  500.5M  E,545.1M,GRANDE PRAIRIE,3975.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-28,DEV (NC),ANTE CREEK NORTH,MONTNEY FM,ARC RESOURCES LTD.,06-26-068-25W5,26068255,35,8,2020,26068255,54.91595324,-117.68778600000002
