WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
AVN HZ PCOUPES 2-6-77-13,0498083,ALBERTA CROWN,767.9M,100/02-06-077-13W6/00  S  735.0M  W,80.0M,GRANDE PRAIRIE,4900.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-01,DEV (NC),POUCE COUPE SOUTH,MONTNEY FM,ADVANTAGE OIL & GAS LTD.,09-32-076-13W6,32076136,23,6,2020,32076136,55.6285571,-119.9656459
AVN HZ PCOUPES 7-6-77-13,0498084,ALBERTA CROWN,767.6M,100/07-06-077-13W6/00  S  725.0M  W,80.0M,GRANDE PRAIRIE,5000.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-01,DEV (NC),POUCE COUPE SOUTH,MONTNEY FM,ADVANTAGE OIL & GAS LTD.,09-32-076-13W6,32076136,23,6,2020,32076136,55.6285571,-119.9656459
AVN HZ PCOUPES 15-6-77-13,0498085,ALBERTA CROWN,767.5M,100/15-06-077-13W6/00  S  715.0M  W,80.0M,GRANDE PRAIRIE,5500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-06-01,DEV (NC),POUCE COUPE SOUTH,MONTNEY FM,ADVANTAGE OIL & GAS LTD.,09-32-076-13W6,32076136,23,6,2020,32076136,55.6285571,-119.9656459
