WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
SURGE ENERGY HZ PROVOST 10-26-36-5,0498254,ALBERTA CROWN,674.3M,100/10-26-036-05W4/00  S  385.8M  W,648.9M,WAINWRIGHT,2675.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,15-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
SURGE ENERGY 102 PROVOST 10-26-36-5,0498255,ALBERTA CROWN,676.4M,102/10-26-036-05W4/00  S  346.1M  W,669.9M,WAINWRIGHT,2525.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,15-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
SURGE ENERGY 102 PROVOST 15-26-36-5,0498256,ALBERTA CROWN,674.2M,102/15-26-036-05W4/00  S  372.6M  W,655.9M,WAINWRIGHT,2470.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,15-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
SURGE ENERGY 103 PROVOST 15-26-36-5,0498257,ALBERTA CROWN,675.5M,103/15-26-036-05W4/00  S  332.8M  W,677.0M,WAINWRIGHT,2570.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,15-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
SURGE ENERGY 105HZ PROVOST 9-30-36-4,0498258,ALBERTA CROWN,674.4M,105/09-30-036-04W4/00  S  412.3M  W,634.9M,WAINWRIGHT,2685.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,10-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
SURGE ENERGY 105 PROVOST 15-30-36-4,0498259,ALBERTA CROWN,674.4M,105/15-30-036-04W4/00  S  399.1M  W,641.9M,WAINWRIGHT,2680.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,15-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
SURGE ENERGY 106 PROVOST 15-30-36-4,0498260,ALBERTA CROWN,674.2M,106/15-30-036-04W4/00  S  359.3M  W,662.9M,WAINWRIGHT,2790.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-12,DEV (NC),PROVOST,SPARKY MBR,SURGE ENERGY INC.,15-25-036-05W4,25036054,33,8,2020,25036054,52.12117367,-110.5765635
