WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CNRL 13C MURIELLK 13-30-59-4,0498680,ALBERTA CROWN,607.3M,103/13-30-059-04W4/00  S   62.6M  E,426.4M,BONNYVILLE,609.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-10,DEV (NC),MURIEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,14-30-059-04W4,30059044,46,11,2020,30059044,54.12980719,-110.5803456
CNRL 13D MURIELLK 13-30-59-4,0498681,ALBERTA CROWN,607.3M,104/13-30-059-04W4/00  S   72.3M  E,434.3M,BONNYVILLE,467.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-10,DEV (NC),MURIEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,14-30-059-04W4,30059044,46,11,2020,30059044,54.12980719,-110.5803456
CNRL 3C MURIELLK 3-31-59-4,0498682,ALBERTA CROWN,607.3M,103/03-31-059-04W4/00  S   82.0M  E,442.2M,BONNYVILLE,656.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-10,DEV (NC),MURIEL LAKE,CLEARWATER FM,CANADIAN NATURAL RESOURCES LIMITED,14-30-059-04W4,30059044,46,11,2020,30059044,54.12980719,-110.5803456
CNRL 14D MURIELLK 14-30-59-4,0498683,ALBERTA CROWN,607.3M,102/14-30-059-04W4/00  S   91.7M  E,450.1M,BONNYVILLE,498.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-10,DEV (NC),MURIEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,14-30-059-04W4,30059044,46,11,2020,30059044,54.12980719,-110.5803456
CNRL 4A MURIELLK 4-31-59-4,0498684,ALBERTA CROWN,607.3M,104/04-31-059-04W4/00  S  101.5M  E,457.9M,BONNYVILLE,562.0,SLANT,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-10,DEV (NC),MURIEL LAKE,REX MBR,CANADIAN NATURAL RESOURCES LIMITED,14-30-059-04W4,30059044,46,11,2020,30059044,54.12980719,-110.5803456
COPRC 100 OBS RESDELN 8-14-83-7,0498685,ALBERTA CROWN,674.6M,100/08-14-083-07W4/00  N  607.8M  W,30.9M,BONNYVILLE,474.0,VERTICAL,NEW,OBSERVATION,NONE,2020-11-10,DSW (NC),RESDELN,MCMURRAY FM,CONOCOPHILLIPS CANADA RESOURCES CORP.,08-14-083-07W4,14083074,46,11,2020,14083074,56.19547236,-110.98046540000001
OVV HZ WEMBLEY 13-36-71-9,0498686,ALBERTA CROWN,781.4M,100/13-36-071-09W6/00  N  417.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 104 WEMBLEY 4-1-72-9,0498687,ALBERTA CROWN,781.4M,102/04-01-072-09W6/00  N  427.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 103 WEMBLEY 4-1-72-9,0498688,ALBERTA CROWN,781.4M,103/04-01-072-09W6/00  N  437.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 102 WEMBLEY 4-1-72-9,0498689,ALBERTA CROWN,781.4M,104/04-01-072-09W6/00  N  447.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ WEMBLEY 4-1-72-9,0498690,ALBERTA CROWN,781.4M,105/04-01-072-09W6/00  N  457.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 104 WEMBLEY 5-1-72-9,0498691,ALBERTA CROWN,781.4M,104/05-01-072-09W6/00  N  472.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 102 WEMBLEY 9-20-71-8,0498692,ALBERTA CROWN,781.4M,104/09-20-071-08W6/00  N  482.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 103 WEMBLEY 9-20-71-8,0498693,ALBERTA CROWN,781.4M,105/09-20-071-08W6/00  N  492.3M  E,100.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 104 WEMBLEY 16-35-71-9,0498694,ALBERTA CROWN,781.5M,100/16-35-071-09W6/00  N  334.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 103 WEMBLEY 16-35-71-9,0498695,ALBERTA CROWN,781.5M,102/16-35-071-09W6/00  N  344.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 102 WEMBLEY 16-35-71-9,0498696,ALBERTA CROWN,781.5M,103/16-35-071-09W6/00  N  354.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ  WEMBLEY 16-35-71-9,0498697,ALBERTA CROWN,781.4M,104/16-35-071-09W6/00  N  364.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 102 WEMBLEY 13-36-71-9,0498698,ALBERTA CROWN,781.4M,102/13-36-071-09W6/00  N  374.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 103 WEMBLEY 1-20-71-8,0498699,ALBERTA CROWN,781.4M,104/01-20-071-08W6/00  N  389.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 106 WEMBLEY 8-20-71-8,0498700,ALBERTA CROWN,781.4M,107/08-20-071-08W6/00  N  399.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,04-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
OVV HZ 102 WEMBLEY 8-20-71-8,0498701,ALBERTA CROWN,781.4M,108/08-20-071-08W6/00  N  409.0M  E,170.0M,GRANDE PRAIRIE,5700.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-10,DEV (NC),WEMBLEY,MONTNEY FM,OVINTIV CANADA ULC,05-31-071-08W6,31071086,46,11,2020,31071086,55.19236237,-119.2053621
BONTERRA HZ PEMBINA 3-30-46-7,0498702,ALBERTA CROWN,917.4M,100/03-30-046-07W5/00  N  201.3M  E,175.8M,DRAYTON VALLEY,3270.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-11-10,DEV (NC),PEMBINA,CARDIUM FM,BONTERRA ENERGY CORP.,04-31-046-07W5,31046075,46,11,2020,31046075,53.01140189,-114.9924437
BONTERRA HZ 102 PEMBINA 4-30-46-7,0498703,ALBERTA CROWN,917.1M,102/04-30-046-07W5/00  N  201.3M  E,165.8M,DRAYTON VALLEY,3240.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-11-10,DEV (NC),PEMBINA,CARDIUM FM,BONTERRA ENERGY CORP.,04-31-046-07W5,31046075,46,11,2020,31046075,53.01140189,-114.9924437
