WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
AVN 102 HZ PCOUPES 9-33-77-13,0499052,ALBERTA CROWN,756.3M,102/09-33-076-13W6/00  N  691.4M  W,366.8M,GRANDE PRAIRIE,4600.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-16,DEV (NC),POUCE COUPE SOUTH,DOIG FM,ADVANTAGE OIL & GAS LTD.,08-05-077-13W6,5077136,51,12,2020,5077136,55.64321628,-119.9656476
AVN 102 HZ PCOUPES 2-7-77-13,0499053,ALBERTA CROWN,756.4M,102/02-07-077-13W6/00  N  681.4M  W,367.0M,GRANDE PRAIRIE,4300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-16,DEV (NC),POUCE COUPE SOUTH,MONTNEY FM,ADVANTAGE OIL & GAS LTD.,08-05-077-13W6,5077136,51,12,2020,5077136,55.64321628,-119.9656476
CVE G05P04 LEISMER 1-16-76-6,0499054,ALBERTA CROWN,584.5M,113/01-16-076-06W4/00  S  264.8M  W,421.3M,BONNYVILLE,2430.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-16,DEV (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,51,12,2020,4076064,55.55547506,-110.8597759
CVE G05P05 LEISMER 1-16-76-6,0499055,ALBERTA CROWN,584.4M,114/01-16-076-06W4/00  S  264.8M  W,431.3M,BONNYVILLE,2320.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-16,DEV (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,51,12,2020,4076064,55.55547506,-110.8597759
CVE G05P06 LEISMER 2-16-76-6,0499056,ALBERTA CROWN,584.5M,110/02-16-076-06W4/00  S  264.8M  W,441.3M,BONNYVILLE,2370.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-16,DEV (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,51,12,2020,4076064,55.55547506,-110.8597759
CVE G05P07 LEISMER 2-16-76-6,0499057,ALBERTA CROWN,584.5M,111/02-16-076-06W4/00  S  264.8M  W,451.3M,BONNYVILLE,2375.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-16,DEV (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,51,12,2020,4076064,55.55547506,-110.8597759
CVE G05P08 LEISMER 2-16-76-6,0499058,ALBERTA CROWN,584.5M,112/02-16-076-06W4/00  S  264.8M  W,461.3M,BONNYVILLE,2400.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-16,DEV (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,51,12,2020,4076064,55.55547506,-110.8597759
CVE G05P09 LEISMER 2-16-76-6,0499059,ALBERTA CROWN,584.5M,113/02-16-076-06W4/00  S  264.7M  W,471.3M,BONNYVILLE,2450.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-12-16,DEV (NC),LEISMER,MCMURRAY FM,CENOVUS ENERGY INC.,15-04-076-06W4,4076064,51,12,2020,4076064,55.55547506,-110.8597759
TXNE 10B-36 HZ ALDSON 15-6-15-13,0499060,FREEHOLD,749.3M,102/15-06-015-13W4/00  S  743.8M  W,746.7M,MEDICINE HAT,3200.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-16,DEV (NC),ALDERSON,ELLERSLIE MBR,TORXEN ENERGY LTD.,10-36-014-14W4,36014144,51,12,2020,36014144,50.21535039,-111.7788196
MEG LEISMER 14-34-77-6,0499061,ALBERTA CROWN,599.1M,1AB/14-34-077-06W4/00  S  158.2M  E,745.0M,BONNYVILLE,432.0,VERTICAL,NEW,OIL SAND EVALUATION,CRUDE BITUMEN,2020-12-16,OV (C),LEISMER,MCMURRAY FM,MEG ENERGY CORP.,14-34-077-06W4,34077064,51,12,2020,34077064,55.71536388,-110.8338983
