WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CNRL HZ VALHALLA 9-32-75-11,0498545,ALBERTA CROWN,916.8M,100/09-32-075-11W6/00  S  483.0M  W,215.5M,GRANDE PRAIRIE,5693.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-10-14,DEV (NC),VALHALLA,MONTNEY FM,CANADIAN NATURAL RESOURCES LIMITED,09-36-075-12W6,36075126,42,10,2020,36075126,55.54133422,-119.7069972
CNRL HZ VALHALLA 16-32-75-11,0498546,ALBERTA CROWN,917.2M,100/16-32-075-11W6/00  S  469.4M  W,209.2M,GRANDE PRAIRIE,5814.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-10-14,DEV (NC),VALHALLA,MONTNEY FM,CANADIAN NATURAL RESOURCES LIMITED,09-36-075-12W6,36075126,42,10,2020,36075126,55.54133422,-119.7069972
SPL 5-22 HZ MARTENH 1-16-73-25,0498547,ALBERTA CROWN,627.8M,102/01-16-073-25W4/00  N  494.8M  E,213.1M,ST. ALBERT,2700.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-14,DEV (NC),MARTEN HILLS,CLEARWATER FM,SPUR PETROLEUM LTD.,05-22-073-25W4,22073254,42,10,2020,22073254,55.33720887,-113.75022209999999
SPL 5-22 HZ MARTENH 5-21-73-25,0498548,ALBERTA CROWN,627.6M,100/05-21-073-25W4/00  N  495.5M  E,203.1M,ST. ALBERT,2700.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-14,DEV (NC),MARTEN HILLS,CLEARWATER FM,SPUR PETROLEUM LTD.,05-22-073-25W4,22073254,42,10,2020,22073254,55.33720887,-113.75022209999999
SYNCRUDE AN 20-5827 3-4-96-10,0498549,ALBERTA CROWN,296.3M,102/03-04-096-10W4/00  N  218.3M  E,734.1M,BONNYVILLE,299.0,VERTICAL,NEW,OBSERVATION,NONE,2020-10-14,DSW (NC),UNDEFINED,ELK POINT GRP,SYNCRUDE CANADA LTD.,03-04-096-10W4,4096104,42,10,2020,4096104,57.30089297,-111.55039
TIMBERROCK HZ 103 GARR 2-4-34-4,0498550,ALBERTA CROWN,1031.8M,103/02-04-034-04W5/00  N   94.8M  W,464.0M,RED DEER,4100.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-14,DEV (NC),GARRINGTON,GLAUCONITIC SS,TIMBERROCK ENERGY CORP.,02-09-034-04W5,9034045,42,10,2020,9034045,51.90414837,-114.49778880000001
TIMBERROCK HZ 102 GARR 1-4-34-4,0498551,ALBERTA CROWN,1032M,102/01-04-034-04W5/00  N   94.8M  W,454.0M,RED DEER,4100.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-14,DEV (NC),GARRINGTON,GLAUCONITIC SS,TIMBERROCK ENERGY CORP.,02-09-034-04W5,9034045,42,10,2020,9034045,51.90414837,-114.49778880000001
