WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
SUNCOR F2PB DOVER 3-9-93-12,0320561,ALBERTA CROWN,403M,102/03-09-093-12W4/02  S  347.5M  W,155.8M,BONNYVILLE,1040.0,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-03-09,DEV (NC),UNDEFINED,MCMURRAY FM,SUNCOR ENERGY INC.,16-05-093-12W4,5093124,11,3,2020,5093124,57.03904535,-111.8837679
IMP N02W-825 LEMING 1-35-66-3,0497841,ALBERTA CROWN,641.7M,100/01-35-066-03W4/00  N  252.4M  E,66.2M,BONNYVILLE,420.0,SLANT,NEW,OBSERVATION,NONE,2020-03-09,DSW (NC),UNDEFINED,GRAND RAPIDS FM,IMPERIAL OIL RESOURCES LIMITED,04-36-066-03W4,36066034,11,3,2020,36066034,54.75514419,-110.308659
IMP N02W2-845 LEMING 16-26-66-3,0497842,ALBERTA CROWN,641.5M,103/16-26-066-03W4/00  N  260.7M  E,61.5M,BONNYVILLE,530.0,SLANT,NEW,OBSERVATION,NONE,2020-03-09,DSW (NC),LEMING,GRAND RAPIDS FM,IMPERIAL OIL RESOURCES LIMITED,04-36-066-03W4,36066034,11,3,2020,36066034,54.75514419,-110.308659
IMP N02W2-1125 LEMING 1-35-66-3,0497843,ALBERTA CROWN,641.6M,102/01-35-066-03W4/00  N  272.6M  E,74.6M,BONNYVILLE,420.0,SLANT,NEW,OBSERVATION,NONE,2020-03-09,DSW (NC),UNDEFINED,GRAND RAPIDS FM,IMPERIAL OIL RESOURCES LIMITED,04-36-066-03W4,36066034,11,3,2020,36066034,54.75514419,-110.308659
IMP N02W2-1145 LEMING 8-35-66-3,0497844,ALBERTA CROWN,641.7M,102/08-35-066-03W4/00  N  278.8M  E,80.8M,BONNYVILLE,530.0,SLANT,NEW,OBSERVATION,NONE,2020-03-09,DSW (NC),UNDEFINED,GRAND RAPIDS FM,IMPERIAL OIL RESOURCES LIMITED,04-36-066-03W4,36066034,11,3,2020,36066034,54.75514419,-110.308659
TOURMALINE HZ KAKWA 3-16-61-4,0497845,ALBERTA CROWN,1149.3M,100/03-16-061-04W6/00  N  403.0M  W,14.7M,GRANDE PRAIRIE,4911.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-03-09,DEV (C),KAKWA,SPIRIT RIVER FM,TOURMALINE OIL CORP.,08-20-061-04W6,20061046,11,3,2020,20061046,54.29044928,-118.5500953
TOURMALINE HZ KAKWA 4-16-61-4,0497846,ALBERTA CROWN,1149.4M,100/04-16-061-04W6/00  N  403.1M  W,19.7M,GRANDE PRAIRIE,4733.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-03-09,DEV (C),KAKWA,SPIRIT RIVER FM,TOURMALINE OIL CORP.,08-20-061-04W6,20061046,11,3,2020,20061046,54.29044928,-118.5500953
