WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CANAMAX PUSKWA 2-22-74-1,0498262,ALBERTA CROWN,629.3M,100/02-22-074-01W6/00  N  728.4M  E,357.5M,GRANDE PRAIRIE,3200.0,DIRECTIONAL,NEW,PRODUCTION,CRUDE OIL,2020-08-14,DEV (NC),PUSKWASKAU,WINTERBURN GRP,CANAMAX ENERGY LTD.,05-14-074-01W6,14074016,33,8,2020,14074016,55.41060554,-118.02599309999998
CANAMAX PUSKWA 6-15-74-1,0498263,ALBERTA CROWN,629.3M,100/06-15-074-01W6/00  N  728.4M  E,372.5M,GRANDE PRAIRIE,3200.0,DIRECTIONAL,NEW,PRODUCTION,CRUDE OIL,2020-08-14,DEV (NC),PUSKWASKAU,WINTERBURN GRP,CANAMAX ENERGY LTD.,05-14-074-01W6,14074016,33,8,2020,14074016,55.41060554,-118.02599309999998
CANAMAX 02 PUSKWA 16-10-74-1,0498264,ALBERTA CROWN,629.3M,102/16-10-074-01W6/00  N  728.4M  E,342.5M,GRANDE PRAIRIE,3200.0,DIRECTIONAL,NEW,PRODUCTION,CRUDE OIL,2020-08-14,DEV (NC),PUSKWASKAU,WINTERBURN GRP,CANAMAX ENERGY LTD.,05-14-074-01W6,14074016,33,8,2020,14074016,55.41060554,-118.02599309999998
CANAMAX 03 PUSKWA 14-15-74-1,0498265,ALBERTA CROWN,629.3M,103/14-15-074-01W6/00  N  728.4M  E,312.5M,GRANDE PRAIRIE,3300.0,DIRECTIONAL,NEW,PRODUCTION,CRUDE OIL,2020-08-14,DEV (NC),PUSKWASKAU,WINTERBURN GRP,CANAMAX ENERGY LTD.,05-14-074-01W6,14074016,33,8,2020,14074016,55.41060554,-118.02599309999998
PETRUS HZ KAKWA 14-31-63-6,0498266,ALBERTA CROWN,1040.4M,100/14-31-063-06W6/00  S  278.8M  E,559.4M,GRANDE PRAIRIE,4050.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-14,XPL (C),KAKWA,DUNVEGAN FM,PETRUS RESOURCES CORP.,14-30-063-06W6,30063066,33,8,2020,30063066,54.47988029,-118.8814088
WESTBRICK HZ BRAZR 1-23-44-12,0498267,ALBERTA CROWN,1053.5M,102/01-23-044-12W5/00  S  548.7M  W,181.2M,DRAYTON VALLEY,5350.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-14,DEV (C),BRAZEAU RIVER,UPPER MANNVILLE FM,WESTBRICK ENERGY LTD.,09-26-044-12W5,26044125,33,8,2020,26044125,52.82164451,-115.6215547
WESTBRICK HZ BRAZR 3-23-44-12,0498268,ALBERTA CROWN,1054M,100/03-23-044-12W5/00  S  540.2M  W,175.7M,DRAYTON VALLEY,5500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-14,DEV (C),BRAZEAU RIVER,UPPER MANNVILLE FM,WESTBRICK ENERGY LTD.,09-26-044-12W5,26044125,33,8,2020,26044125,52.82164451,-115.6215547
WESTBRICK HZ BRAZR 4-24-44-12,0498269,ALBERTA CROWN,1052.8M,102/04-24-044-12W5/00  S  557.1M  W,186.7M,DRAYTON VALLEY,5450.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-14,DEV (C),BRAZEAU RIVER,UPPER MANNVILLE FM,WESTBRICK ENERGY LTD.,09-26-044-12W5,26044125,33,8,2020,26044125,52.82164451,-115.6215547
