WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
FREE REIN 103 GSPIKE 9-27-51-27,0498721,ALBERTA CROWN,706.8M,102/09-27-051-27W4/00  S  459.0M  W,167.1M,ST. ALBERT,1600.0,VERTICAL,NEW,PRODUCTION,CRUDE OIL,2020-11-16,DEV (C),GOLDEN SPIKE,IRETON FM,FREE REIN RESOURCES LTD.,09-27-051-27W4,27051274,47,11,2020,27051274,53.43209325,-113.88556299999999
CNRL 6D HZ LA COREY 6-17-63-6,0498722,ALBERTA CROWN,555.9M,100/06-17-063-06W4/00  S  710.4M  E,338.0M,BONNYVILLE,2193.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-16,DEV (NC),LA COREY,SPARKY MBR,CANADIAN NATURAL RESOURCES LIMITED,12-20-063-06W4,20063064,47,11,2020,20063064,54.46422182,-110.86287320000001
CNRL 9D HZ LA COREY 9-17-63-6,0498723,ALBERTA CROWN,556M,100/09-17-063-06W4/00  S  687.4M  E,337.9M,BONNYVILLE,2328.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-16,DEV (NC),LA COREY,SPARKY MBR,CANADIAN NATURAL RESOURCES LIMITED,12-20-063-06W4,20063064,47,11,2020,20063064,54.46422182,-110.86287320000001
CNRL 8C2 HZ GARTH 8-29-63-6,0498724,ALBERTA CROWN,555.9M,105/08-29-063-06W4/00  S  702.4M  E,338.0M,BONNYVILLE,1949.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-16,DEV (NC),GARTH,SPARKY MBR,CANADIAN NATURAL RESOURCES LIMITED,12-20-063-06W4,20063064,47,11,2020,20063064,54.46422182,-110.86287320000001
TOURMALINE HZ BRAZR 14-22-44-14,0498725,ALBERTA CROWN,1070.6M,100/14-22-044-14W5/00  N  242.7M  W,166.4M,DRAYTON VALLEY,4450.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-11-16,DEV (NC),BRAZEAU RIVER,VIKING FM,TOURMALINE OIL CORP.,01-22-044-14W5,22044145,47,11,2020,22044145,52.80700666,-115.93584369999999
CNRL 6D2 HZ LA COREY 6-17-63-6,0498726,ALBERTA CROWN,556M,102/06-17-063-06W4/00  S  679.4M  E,337.9M,BONNYVILLE,2221.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-16,DEV (NC),LA COREY,GENERAL PETROLEUM MBR,CANADIAN NATURAL RESOURCES LIMITED,12-20-063-06W4,20063064,47,11,2020,20063064,54.46422182,-110.86287320000001
CNRL 9D2 HZ LA COREY 9-17-63-6,0498727,ALBERTA CROWN,556M,102/09-17-063-06W4/00  S  671.4M  E,337.9M,BONNYVILLE,2329.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-16,DEV (NC),LA COREY,GENERAL PETROLEUM MBR,CANADIAN NATURAL RESOURCES LIMITED,12-20-063-06W4,20063064,47,11,2020,20063064,54.46422182,-110.86287320000001
CNRL 8C3 HZ GARTH 8-29-63-6,0498728,ALBERTA CROWN,556M,106/08-29-063-06W4/00  S  663.4M  E,337.8M,BONNYVILLE,1949.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-11-16,DEV (NC),GARTH,GENERAL PETROLEUM MBR,CANADIAN NATURAL RESOURCES LIMITED,12-20-063-06W4,20063064,47,11,2020,20063064,54.46422182,-110.86287320000001
