WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
COPRC HZ 2641P06STK NEWBY 3-27-83-6,0456419,ALBERTA CROWN,583M,103/03-27-083-06W4/02  S  801.8M  W,517.1M,BONNYVILLE,1510.0,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-03-06,DEV (NC),NEWBY,MCMURRAY FM,CONOCOPHILLIPS CANADA RESOURCES CORP.,10-22-083-06W4,22083064,10,3,2020,22083064,56.20989288,-110.84878619999999
COPRC HZ 2641I06STK NEWBY 3-27-83-6,0456702,ALBERTA CROWN,582.6M,105/03-27-083-06W4/02  S  778.0M  W,530.3M,BONNYVILLE,1480.0,HORIZONTAL,RESUMPTIO,INJECTION,WATER,2020-03-06,DSW (NC),NEWBY,MCMURRAY FM,CONOCOPHILLIPS CANADA RESOURCES CORP.,10-22-083-06W4,22083064,10,3,2020,22083064,56.20989288,-110.84878619999999
COPRC HZ 2652P03STK NEWBY 9-22-83-6,0463692,ALBERTA CROWN,585.9M,104/09-22-083-06W4/02  N  225.3M  E,547.5M,BONNYVILLE,1545.0,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-03-06,DEV (NC),NEWBY,MCMURRAY FM,CONOCOPHILLIPS CANADA RESOURCES CORP.,03-22-083-06W4,22083064,10,3,2020,22083064,56.20989288,-110.84878619999999
INPLAY OIL HZ WILLGR 2-26-41-6,0497836,BOTH,1059.8M,102/02-26-041-06W5/00  N  651.2M  E,221.0M,RED DEER,4250.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-03-06,DEV (NC),WILLESDEN GREEN,CARDIUM FM,INPLAY OIL CORP.,05-30-041-05W5,30041055,10,3,2020,30041055,52.55954836,-114.6975395
INPLAY OIL 102 HZ WILLGR 2-26-41-6,0497837,BOTH,1059.5M,103/02-26-041-06W5/00  N  651.4M  E,241.0M,RED DEER,4250.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-03-06,DEV (NC),WILLESDEN GREEN,CARDIUM FM,INPLAY OIL CORP.,05-30-041-05W5,30041055,10,3,2020,30041055,52.55954836,-114.6975395
INPLAY OIL HZ WILLGR 7-26-41-6,0497838,BOTH,1058.8M,100/07-26-041-06W5/00  N  651.6M  E,261.0M,RED DEER,4250.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-03-06,DEV (NC),WILLESDEN GREEN,CARDIUM FM,INPLAY OIL CORP.,05-30-041-05W5,30041055,10,3,2020,30041055,52.55954836,-114.6975395
AVN HZ PROGRESS 9-3-77-9,0497839,ALBERTA CROWN,898.6M,100/09-03-077-09W6/00  S  687.0M  E,13.3M,GRANDE PRAIRIE,5200.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-03-06,DEV (C),VALHALLA,MONTNEY FM,ADVANTAGE OIL & GAS LTD.,12-04-077-09W6,4077096,10,3,2020,4077096,55.64324968,-119.31916240000001
AVN 102 HZ PROGRESS 9-3-77-9,0497840,ALBERTA CROWN,898.2M,102/09-03-077-09W6/00  S  667.0M  E,13.5M,GRANDE PRAIRIE,5200.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-03-06,DEV (C),VALHALLA,MONTNEY FM,ADVANTAGE OIL & GAS LTD.,12-04-077-09W6,4077096,10,3,2020,4077096,55.64324968,-119.31916240000001
