WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
MEG DB1P HARDY 13-14-77-5,0486219,ALBERTA CROWN,583.9M,1W3/13-14-077-05W4/02  N  734.4M  W,551.4M,BONNYVILLE,1931.0,HORIZONTAL,RESUMPTIO,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-19,DEV (NC),HARDY,MCMURRAY FM,MEG ENERGY CORP.,07-14-077-05W4,14077054,43,10,2020,14077054,55.67179799,-110.65273
VELVET HZ GORD 8-25-79-11,0498567,ALBERTA CROWN,761M,100/08-25-079-11W6/00  N  581.4M  E,295.3M,GRANDE PRAIRIE,2480.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-10-19,DEV (C),GORDONDALE,PADDY MBR,VELVET ENERGY LTD.,05-19-079-10W6,19079106,43,10,2020,19079106,55.86161648,-119.5404191
SPL 15-35 HZ MARTENH 15-26-73-25,0498568,ALBERTA CROWN,683.9M,100/15-26-073-25W4/00  S   84.8M  W,653.9M,ST. ALBERT,2400.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-19,DEV (NC),MARTEN HILLS,CLEARWATER FM,SPUR PETROLEUM LTD.,15-35-073-25W4,35073254,43,10,2020,35073254,55.36630699999999,-113.7246389
SPL 15-35 HZ 103 MARTENH 16-26-73-25,0498569,ALBERTA CROWN,683.9M,103/16-26-073-25W4/00  S   74.8M  W,653.8M,ST. ALBERT,2400.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-19,DEV (NC),MARTEN HILLS,CLEARWATER FM,SPUR PETROLEUM LTD.,15-35-073-25W4,35073254,43,10,2020,35073254,55.36630699999999,-113.7246389
