WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
TXNE 1A-20 HZ BANTRY 2-18-16-13,0498919,FREEHOLD,744M,100/02-18-016-13W4/00  N  135.9M  W,59.4M,MEDICINE HAT,3750.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-07,DEV (NC),BANTRY,ELLERSLIE MBR,TORXEN ENERGY LTD.,01-20-016-13W4,20016134,50,12,2020,20016134,50.36108368,-111.7459649
VEI HZ PEMBINA 5-2-51-13,0498920,ALBERTA CROWN,1008.6M,102/05-02-051-13W5/00  S  205.5M  E,763.4M,DRAYTON VALLEY,5694.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (NC),PEMBINA,ELLERSLIE MBR,VERMILION ENERGY INC.,14-36-050-13W5,36050135,50,12,2020,36050135,53.35971673,-115.75708190000002
VEI HZ PEMBINA 13-2-51-13,0498921,ALBERTA CROWN,1008.9M,100/13-02-051-13W5/00  S  218.2M  E,755.5M,DRAYTON VALLEY,5973.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (NC),PEMBINA,ELLERSLIE MBR,VERMILION ENERGY INC.,14-36-050-13W5,36050135,50,12,2020,36050135,53.35971673,-115.75708190000002
TOURMALINE HZ PEPPERS 15-3-52-23,0498922,ALBERTA CROWN,1363.5M,100/15-03-052-23W5/00  S   95.7M  E,349.8M,DRAYTON VALLEY,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),PEPPERS,SPIRIT RIVER FM,TOURMALINE OIL CORP.,13-01-052-23W5,1052235,50,12,2020,1052235,53.46124215,-117.244469
TOURMALINE HZ PEPPERS 2-3-52-23,0498923,ALBERTA CROWN,1363.5M,100/02-03-052-23W5/00  S   95.9M  E,354.7M,DRAYTON VALLEY,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),PEPPERS,SPIRIT RIVER FM,TOURMALINE OIL CORP.,13-01-052-23W5,1052235,50,12,2020,1052235,53.46124215,-117.244469
7GEN HZ KAKWA 11-15-64-6,0498924,ALBERTA CROWN,876.3M,100/11-15-064-06W6/00  S  741.2M  W,461.9M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,10-11-064-06W6,11064066,50,12,2020,11064066,54.52342211,-118.78071070000001
7GEN HZ 104 KAKWA 14-15-64-6,0498925,ALBERTA CROWN,876.2M,104/14-15-064-06W6/00  S  731.2M  W,457.3M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,10-11-064-06W6,11064066,50,12,2020,11064066,54.52342211,-118.78071070000001
7GEN HZ 105 KAKWA 14-15-64-6,0498926,ALBERTA CROWN,876.1M,105/14-15-064-06W6/00  S  721.2M  W,452.7M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,10-11-064-06W6,11064066,50,12,2020,11064066,54.52342211,-118.78071070000001
7GEN HZ 103 KAKWA 15-15-64-6,0498927,ALBERTA CROWN,876.3M,103/15-15-064-06W6/00  S  753.0M  W,412.4M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,10-11-064-06W6,11064066,50,12,2020,11064066,54.52342211,-118.78071070000001
7GEN HZ 102 KAKWA 16-15-64-6,0498928,ALBERTA CROWN,876.2M,102/16-15-064-06W6/00  S  743.0M  W,407.7M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,10-11-064-06W6,11064066,50,12,2020,11064066,54.52342211,-118.78071070000001
7GEN HZ 103 KAKWA 16-15-64-6,0498929,ALBERTA CROWN,876.1M,103/16-15-064-06W6/00  S  733.0M  W,403.1M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-12-07,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,10-11-064-06W6,11064066,50,12,2020,11064066,54.52342211,-118.78071070000001
HALO HZ MCKINLEY 2-20-65-22,0498930,ALBERTA CROWN,730.1M,100/02-20-065-22W5/00  N  384.2M  E,514.7M,ST. ALBERT,4566.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-07,DEV (C),MCKINLEY,MONTNEY FM,HALO EXPLORATION LTD.,03-22-065-22W5,22065225,50,12,2020,22065225,54.6397618,-117.22755179999999
HALO HZ  MCKINLEY 7-20-65-22,0498931,ALBERTA CROWN,730.1M,100/07-20-065-22W5/00  N  364.2M  E,514.7M,ST. ALBERT,4467.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-12-07,DEV (C),MCKINLEY,MONTNEY FM,HALO EXPLORATION LTD.,03-22-065-22W5,22065225,50,12,2020,22065225,54.6397618,-117.22755179999999
